geneset	count	crossd
GOBP_MEDIUM_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS	1	Metabolic
GOBP_RISC_COMPLEX_ASSEMBLY	1	Metabolic
GOBP_CRD_MEDIATED_MRNA_STABILIZATION	1	Metabolic
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	1	Metabolic
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	1	Metabolic
GOBP_PROTEIN_LOCALIZATION_TO_CYTOPLASMIC_STRESS_GRANULE	1	Metabolic
GOBP_REGULATION_OF_DNA_TOPOISOMERASE_ATP_HYDROLYZING_ACTIVITY	1	Metabolic
GOBP_RESPONSE_TO_UV_C	1	Disease
GOBP_EMBRYONIC_CLEAVAGE	1	Disease
GOBP_NEURON_DEATH	1	Disease
GOBP_CELLULAR_RESPONSE_TO_UV_C	1	Disease
GOBP_AXONAL_TRANSPORT_OF_MITOCHONDRION	1	Disease
GOBP_HYPOTHALAMUS_CELL_DIFFERENTIATION	1	Disease
GOBP_REGULATION_OF_INOSITOL_1_4_5_TRISPHOSPHATE_SENSITIVE_CALCIUM_RELEASE_CHANNEL_ACTIVITY	1	Disease
GOBP_NEUROTROPHIN_PRODUCTION	1	Disease
GOBP_MITOCHONDRION_DISTRIBUTION	1	Disease
GOBP_ANTEROGRADE_AXONAL_TRANSPORT_OF_MITOCHONDRION	1	Disease
GOBP_REGULATION_OF_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	1	Disease
GOBP_REGULATION_OF_NON_MOTILE_CILIUM_ASSEMBLY	1	Disease
GOBP_POSITIVE_REGULATION_OF_NON_MOTILE_CILIUM_ASSEMBLY	1	Disease
GOBP_ETHANOL_OXIDATION	1	Disease
GOBP_TRNA_THREONYLCARBAMOYLADENOSINE_MODIFICATION	1	Behavioural
GOBP_RESPONSE_TO_PHEROMONE	1	Condition
GOBP_POSITIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE	1	Condition
GOMF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_ACTIVITY	1	Developmental
GOMF_TROPONIN_I_BINDING	1	Lifestyle
GOMF_NADPLUS_PROTEIN_ARGININE_ADP_RIBOSYLTRANSFERASE_ACTIVITY	1	Antropometric
GOMF_NADPLUS_PROTEIN_ADP_RIBOSYLTRANSFERASE_ACTIVITY	1	Antropometric
