sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	pair_m_f_	pair_m_f_inv
em_clinical_c_Block_G50-G59	clinical_c_Block_G50-G59	G50-G59 Nerve, nerve root and plexus disorders (elena)	G50-G59 Nerve, nerve root and plexus disorders	206770	199742	7028	male	elena	G50-G59 Nerve, nerve root and plexus disorders	G50-G59 Nerve, nerve root and plexus disorders (elena) [male]	NA	G50-G59 Nerve, nerve root and plexus disorders (elena) NA	ef_clinical_c_Block_G50-G59 em_clinical_c_Block_G50-G59	em_clinical_c_Block_G50-G59 ef_clinical_c_Block_G50-G59	Disease	em_clinical_c_Block_G50-G59:ef_clinical_c_Block_G50-G59	ef_clinical_c_Block_G50-G59:em_clinical_c_Block_G50-G59
em_clinical_c_Block_H30-H36	clinical_c_Block_H30-H36	H30-H36 Disorders of choroid and retina (elena)	H30-H36 Disorders of choroid and retina	206770	202482	4288	male	elena	H30-H36 Disorders of choroid and retina	H30-H36 Disorders of choroid and retina (elena) [male]	NA	H30-H36 Disorders of choroid and retina (elena) NA	ef_clinical_c_Block_H30-H36 em_clinical_c_Block_H30-H36	em_clinical_c_Block_H30-H36 ef_clinical_c_Block_H30-H36	Disease	em_clinical_c_Block_H30-H36:ef_clinical_c_Block_H30-H36	ef_clinical_c_Block_H30-H36:em_clinical_c_Block_H30-H36
em_clinical_c_Block_I10-I15	clinical_c_Block_I10-I15	I10-I15 Hypertensive diseases (elena)	I10-I15 Hypertensive diseases	206770	160979	45791	male	elena	I10-I15 Hypertensive diseases	I10-I15 Hypertensive diseases (elena) [male]	NA	I10-I15 Hypertensive diseases (elena) NA	ef_clinical_c_Block_I10-I15 em_clinical_c_Block_I10-I15	em_clinical_c_Block_I10-I15 ef_clinical_c_Block_I10-I15	Disease	em_clinical_c_Block_I10-I15:ef_clinical_c_Block_I10-I15	ef_clinical_c_Block_I10-I15:em_clinical_c_Block_I10-I15
em_clinical_c_Block_I20-I25	clinical_c_Block_I20-I25	I20-I25 Ischaemic heart diseases (elena)	I20-I25 Ischaemic heart diseases	206770	184078	22692	male	elena	I20-I25 Ischaemic heart diseases	I20-I25 Ischaemic heart diseases (elena) [male]	NA	I20-I25 Ischaemic heart diseases (elena) NA	ef_clinical_c_Block_I20-I25 em_clinical_c_Block_I20-I25	em_clinical_c_Block_I20-I25 ef_clinical_c_Block_I20-I25	Disease	em_clinical_c_Block_I20-I25:ef_clinical_c_Block_I20-I25	ef_clinical_c_Block_I20-I25:em_clinical_c_Block_I20-I25
em_clinical_c_Block_I26-I28	clinical_c_Block_I26-I28	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation (elena)	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation	206770	204132	2638	male	elena	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation (elena) [male]	NA	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation (elena) NA	ef_clinical_c_Block_I26-I28 em_clinical_c_Block_I26-I28	em_clinical_c_Block_I26-I28 ef_clinical_c_Block_I26-I28	Disease	em_clinical_c_Block_I26-I28:ef_clinical_c_Block_I26-I28	ef_clinical_c_Block_I26-I28:em_clinical_c_Block_I26-I28
em_clinical_c_Block_I70-I79	clinical_c_Block_I70-I79	I70-I79 Diseases of arteries, arterioles and capillaries (elena)	I70-I79 Diseases of arteries, arterioles and capillaries	206770	201703	5067	male	elena	I70-I79 Diseases of arteries, arterioles and capillaries	I70-I79 Diseases of arteries, arterioles and capillaries (elena) [male]	NA	I70-I79 Diseases of arteries, arterioles and capillaries (elena) NA	ef_clinical_c_Block_I70-I79 em_clinical_c_Block_I70-I79	em_clinical_c_Block_I70-I79 ef_clinical_c_Block_I70-I79	Disease	em_clinical_c_Block_I70-I79:ef_clinical_c_Block_I70-I79	ef_clinical_c_Block_I70-I79:em_clinical_c_Block_I70-I79
em_clinical_c_Block_J09-J18	clinical_c_Block_J09-J18	J09-J18 Influenza and pneumonia (elena)	J09-J18 Influenza and pneumonia	206770	200732	6038	male	elena	J09-J18 Influenza and pneumonia	J09-J18 Influenza and pneumonia (elena) [male]	NA	J09-J18 Influenza and pneumonia (elena) NA	ef_clinical_c_Block_J09-J18 em_clinical_c_Block_J09-J18	em_clinical_c_Block_J09-J18 ef_clinical_c_Block_J09-J18	Disease	em_clinical_c_Block_J09-J18:ef_clinical_c_Block_J09-J18	ef_clinical_c_Block_J09-J18:em_clinical_c_Block_J09-J18
em_clinical_c_Block_K20-K31	clinical_c_Block_K20-K31	K20-K31 Diseases of oesophagus, stomach and duodenum (elena)	K20-K31 Diseases of oesophagus, stomach and duodenum	206770	176389	30381	male	elena	K20-K31 Diseases of oesophagus, stomach and duodenum	K20-K31 Diseases of oesophagus, stomach and duodenum (elena) [male]	NA	K20-K31 Diseases of oesophagus, stomach and duodenum (elena) NA	ef_clinical_c_Block_K20-K31 em_clinical_c_Block_K20-K31	em_clinical_c_Block_K20-K31 ef_clinical_c_Block_K20-K31	Disease	em_clinical_c_Block_K20-K31:ef_clinical_c_Block_K20-K31	ef_clinical_c_Block_K20-K31:em_clinical_c_Block_K20-K31
em_clinical_c_Block_K35-K38	clinical_c_Block_K35-K38	K35-K38 Diseases of appendix (elena)	K35-K38 Diseases of appendix	206770	204913	1857	male	elena	K35-K38 Diseases of appendix	K35-K38 Diseases of appendix (elena) [male]	NA	K35-K38 Diseases of appendix (elena) NA	ef_clinical_c_Block_K35-K38 em_clinical_c_Block_K35-K38	em_clinical_c_Block_K35-K38 ef_clinical_c_Block_K35-K38	Disease	em_clinical_c_Block_K35-K38:ef_clinical_c_Block_K35-K38	ef_clinical_c_Block_K35-K38:em_clinical_c_Block_K35-K38
em_clinical_c_Block_K40-K46	clinical_c_Block_K40-K46	K40-K46 Hernia (elena)	K40-K46 Hernia	206770	175908	30862	male	elena	K40-K46 Hernia	K40-K46 Hernia (elena) [male]	NA	K40-K46 Hernia (elena) NA	ef_clinical_c_Block_K40-K46 em_clinical_c_Block_K40-K46	em_clinical_c_Block_K40-K46 ef_clinical_c_Block_K40-K46	Disease	em_clinical_c_Block_K40-K46:ef_clinical_c_Block_K40-K46	ef_clinical_c_Block_K40-K46:em_clinical_c_Block_K40-K46
em_clinical_c_Block_K55-K64	clinical_c_Block_K55-K64	K55-K64 Other diseases of intestines (elena)	K55-K64 Other diseases of intestines	206770	173901	32869	male	elena	K55-K64 Other diseases of intestines	K55-K64 Other diseases of intestines (elena) [male]	NA	K55-K64 Other diseases of intestines (elena) NA	ef_clinical_c_Block_K55-K64 em_clinical_c_Block_K55-K64	em_clinical_c_Block_K55-K64 ef_clinical_c_Block_K55-K64	Disease	em_clinical_c_Block_K55-K64:ef_clinical_c_Block_K55-K64	ef_clinical_c_Block_K55-K64:em_clinical_c_Block_K55-K64
em_clinical_c_Block_L20-L30	clinical_c_Block_L20-L30	L20-L30 Dermatitis and eczema (elena)	L20-L30 Dermatitis and eczema	206770	205239	1531	male	elena	L20-L30 Dermatitis and eczema	L20-L30 Dermatitis and eczema (elena) [male]	NA	L20-L30 Dermatitis and eczema (elena) NA	ef_clinical_c_Block_L20-L30 em_clinical_c_Block_L20-L30	em_clinical_c_Block_L20-L30 ef_clinical_c_Block_L20-L30	Disease	em_clinical_c_Block_L20-L30:ef_clinical_c_Block_L20-L30	ef_clinical_c_Block_L20-L30:em_clinical_c_Block_L20-L30
em_clinical_c_Block_M15-M19	clinical_c_Block_M15-M19	M15-M19 Arthrosis (elena)	M15-M19 Arthrosis	206770	185742	21028	male	elena	M15-M19 Arthrosis	M15-M19 Arthrosis (elena) [male]	NA	M15-M19 Arthrosis (elena) NA	ef_clinical_c_Block_M15-M19 em_clinical_c_Block_M15-M19	em_clinical_c_Block_M15-M19 ef_clinical_c_Block_M15-M19	Disease	em_clinical_c_Block_M15-M19:ef_clinical_c_Block_M15-M19	ef_clinical_c_Block_M15-M19:em_clinical_c_Block_M15-M19
em_clinical_c_Block_M45-M49	clinical_c_Block_M45-M49	M45-M49 Spondylopathies (elena)	M45-M49 Spondylopathies	206770	201227	5543	male	elena	M45-M49 Spondylopathies	M45-M49 Spondylopathies (elena) [male]	NA	M45-M49 Spondylopathies (elena) NA	ef_clinical_c_Block_M45-M49 em_clinical_c_Block_M45-M49	em_clinical_c_Block_M45-M49 ef_clinical_c_Block_M45-M49	Disease	em_clinical_c_Block_M45-M49:ef_clinical_c_Block_M45-M49	ef_clinical_c_Block_M45-M49:em_clinical_c_Block_M45-M49
em_clinical_c_Block_N17-N19	clinical_c_Block_N17-N19	N17-N19 Renal failure (elena)	N17-N19 Renal failure	206770	201251	5519	male	elena	N17-N19 Renal failure	N17-N19 Renal failure (elena) [male]	NA	N17-N19 Renal failure (elena) NA	ef_clinical_c_Block_N17-N19 em_clinical_c_Block_N17-N19	em_clinical_c_Block_N17-N19 ef_clinical_c_Block_N17-N19	Disease	em_clinical_c_Block_N17-N19:ef_clinical_c_Block_N17-N19	ef_clinical_c_Block_N17-N19:em_clinical_c_Block_N17-N19
em_clinical_c_Block_N20-N23	clinical_c_Block_N20-N23	N20-N23 Urolithiasis (elena)	N20-N23 Urolithiasis	206770	201837	4933	male	elena	N20-N23 Urolithiasis	N20-N23 Urolithiasis (elena) [male]	NA	N20-N23 Urolithiasis (elena) NA	ef_clinical_c_Block_N20-N23 em_clinical_c_Block_N20-N23	em_clinical_c_Block_N20-N23 ef_clinical_c_Block_N20-N23	Disease	em_clinical_c_Block_N20-N23:ef_clinical_c_Block_N20-N23	ef_clinical_c_Block_N20-N23:em_clinical_c_Block_N20-N23
em_clinical_c_D50	clinical_c_D50	D50 Iron deficiency anaemia (elena)	D50 Iron deficiency anaemia	206770	203563	3207	male	elena	D50 Iron deficiency anaemia	D50 Iron deficiency anaemia (elena) [male]	NA	D50 Iron deficiency anaemia (elena) NA	ef_clinical_c_D50 em_clinical_c_D50	em_clinical_c_D50 ef_clinical_c_D50	Disease	em_clinical_c_D50:ef_clinical_c_D50	ef_clinical_c_D50:em_clinical_c_D50
em_clinical_c_E03	clinical_c_E03	E03 Other hypothyroidism (elena)	E03 Other hypothyroidism	206770	203978	2792	male	elena	E03 Other hypothyroidism	E03 Other hypothyroidism (elena) [male]	NA	E03 Other hypothyroidism (elena) NA	ef_clinical_c_E03 em_clinical_c_E03	em_clinical_c_E03 ef_clinical_c_E03	Disease	em_clinical_c_E03:ef_clinical_c_E03	ef_clinical_c_E03:em_clinical_c_E03
em_clinical_c_E10	clinical_c_E10	E10 Insulin-dependent diabetes mellitus (elena)	E10 Insulin-dependent diabetes mellitus	206770	204986	1784	male	elena	E10 Insulin-dependent diabetes mellitus	E10 Insulin-dependent diabetes mellitus (elena) [male]	NA	E10 Insulin-dependent diabetes mellitus (elena) NA	ef_clinical_c_E10 em_clinical_c_E10	em_clinical_c_E10 ef_clinical_c_E10	Disease	em_clinical_c_E10:ef_clinical_c_E10	ef_clinical_c_E10:em_clinical_c_E10
em_clinical_c_E11	clinical_c_E11	E11 Non-insulin-dependent diabetes mellitus (elena)	E11 Non-insulin-dependent diabetes mellitus	206770	194418	12352	male	elena	E11 Non-insulin-dependent diabetes mellitus	E11 Non-insulin-dependent diabetes mellitus (elena) [male]	NA	E11 Non-insulin-dependent diabetes mellitus (elena) NA	ef_clinical_c_E11 em_clinical_c_E11	em_clinical_c_E11 ef_clinical_c_E11	Disease	em_clinical_c_E11:ef_clinical_c_E11	ef_clinical_c_E11:em_clinical_c_E11
em_clinical_c_E66	clinical_c_E66	E66 Obesity (elena)	E66 Obesity	206770	201423	5347	male	elena	E66 Obesity	E66 Obesity (elena) [male]	NA	E66 Obesity (elena) NA	ef_clinical_c_E66 em_clinical_c_E66	em_clinical_c_E66 ef_clinical_c_E66	Disease	em_clinical_c_E66:ef_clinical_c_E66	ef_clinical_c_E66:em_clinical_c_E66
em_clinical_c_E78	clinical_c_E78	E78 Disorders of lipoprotein metabolism and other lipidaemias (elena)	E78 Disorders of lipoprotein metabolism and other lipidaemias	206770	182784	23986	male	elena	E78 Disorders of lipoprotein metabolism and other lipidaemias	E78 Disorders of lipoprotein metabolism and other lipidaemias (elena) [male]	NA	E78 Disorders of lipoprotein metabolism and other lipidaemias (elena) NA	ef_clinical_c_E78 em_clinical_c_E78	em_clinical_c_E78 ef_clinical_c_E78	Disease	em_clinical_c_E78:ef_clinical_c_E78	ef_clinical_c_E78:em_clinical_c_E78
em_clinical_c_E83	clinical_c_E83	E83 Disorders of mineral metabolism (elena)	E83 Disorders of mineral metabolism	206770	205461	1309	male	elena	E83 Disorders of mineral metabolism	E83 Disorders of mineral metabolism (elena) [male]	NA	E83 Disorders of mineral metabolism (elena) NA	ef_clinical_c_E83 em_clinical_c_E83	em_clinical_c_E83 ef_clinical_c_E83	Disease	em_clinical_c_E83:ef_clinical_c_E83	ef_clinical_c_E83:em_clinical_c_E83
em_clinical_c_F10	clinical_c_F10	F10 Mental and behavioural disorders due to use of alcohol (elena)	F10 Mental and behavioural disorders due to use of alcohol	206770	202415	4355	male	elena	F10 Mental and behavioural disorders due to use of alcohol	F10 Mental and behavioural disorders due to use of alcohol (elena) [male]	NA	F10 Mental and behavioural disorders due to use of alcohol (elena) NA	ef_clinical_c_F10 em_clinical_c_F10	em_clinical_c_F10 ef_clinical_c_F10	Disease	em_clinical_c_F10:ef_clinical_c_F10	ef_clinical_c_F10:em_clinical_c_F10
em_clinical_c_F17	clinical_c_F17	F17 Mental and behavioural disorders due to use of tobacco (elena)	F17 Mental and behavioural disorders due to use of tobacco	206770	199967	6803	male	elena	F17 Mental and behavioural disorders due to use of tobacco	F17 Mental and behavioural disorders due to use of tobacco (elena) [male]	NA	F17 Mental and behavioural disorders due to use of tobacco (elena) NA	ef_clinical_c_F17 em_clinical_c_F17	em_clinical_c_F17 ef_clinical_c_F17	Disease	em_clinical_c_F17:ef_clinical_c_F17	ef_clinical_c_F17:em_clinical_c_F17
em_clinical_c_F41	clinical_c_F41	F41 Other anxiety disorders (elena)	F41 Other anxiety disorders	206770	204359	2411	male	elena	F41 Other anxiety disorders	F41 Other anxiety disorders (elena) [male]	NA	F41 Other anxiety disorders (elena) NA	ef_clinical_c_F41 em_clinical_c_F41	em_clinical_c_F41 ef_clinical_c_F41	Disease	em_clinical_c_F41:ef_clinical_c_F41	ef_clinical_c_F41:em_clinical_c_F41
em_clinical_c_G47	clinical_c_G47	G47 Sleep disorders (elena)	G47 Sleep disorders	206770	202631	4139	male	elena	G47 Sleep disorders	G47 Sleep disorders (elena) [male]	NA	G47 Sleep disorders (elena) NA	ef_clinical_c_G47 em_clinical_c_G47	em_clinical_c_G47 ef_clinical_c_G47	Disease	em_clinical_c_G47:ef_clinical_c_G47	ef_clinical_c_G47:em_clinical_c_G47
em_clinical_c_G55	clinical_c_G55	G55 Nerve root and plexus compressions in diseases classified elsewhere (elena)	G55 Nerve root and plexus compressions in diseases classified elsewhere	206770	204819	1951	male	elena	G55 Nerve root and plexus compressions in diseases classified elsewhere	G55 Nerve root and plexus compressions in diseases classified elsewhere (elena) [male]	NA	G55 Nerve root and plexus compressions in diseases classified elsewhere (elena) NA	ef_clinical_c_G55 em_clinical_c_G55	em_clinical_c_G55 ef_clinical_c_G55	Disease	em_clinical_c_G55:ef_clinical_c_G55	ef_clinical_c_G55:em_clinical_c_G55
em_clinical_c_G56	clinical_c_G56	G56 Mo-uropathies of upper limb (elena)	G56 Mo-uropathies of upper limb	206770	202906	3864	male	elena	G56 Mo-uropathies of upper limb	G56 Mo-uropathies of upper limb (elena) [male]	NA	G56 Mo-uropathies of upper limb (elena) NA	ef_clinical_c_G56 em_clinical_c_G56	em_clinical_c_G56 ef_clinical_c_G56	Disease	em_clinical_c_G56:ef_clinical_c_G56	ef_clinical_c_G56:em_clinical_c_G56
em_clinical_c_H25	clinical_c_H25	H25 Senile cataract (elena)	H25 Senile cataract	206770	202809	3961	male	elena	H25 Senile cataract	H25 Senile cataract (elena) [male]	NA	H25 Senile cataract (elena) NA	ef_clinical_c_H25 em_clinical_c_H25	em_clinical_c_H25 ef_clinical_c_H25	Disease	em_clinical_c_H25:ef_clinical_c_H25	ef_clinical_c_H25:em_clinical_c_H25
em_clinical_c_H26	clinical_c_H26	H26 Other cataract (elena)	H26 Other cataract	206770	199843	6927	male	elena	H26 Other cataract	H26 Other cataract (elena) [male]	NA	H26 Other cataract (elena) NA	ef_clinical_c_H26 em_clinical_c_H26	em_clinical_c_H26 ef_clinical_c_H26	Disease	em_clinical_c_H26:ef_clinical_c_H26	ef_clinical_c_H26:em_clinical_c_H26
em_clinical_c_H33	clinical_c_H33	H33 Retinal detachments and breaks (elena)	H33 Retinal detachments and breaks	206770	204713	2057	male	elena	H33 Retinal detachments and breaks	H33 Retinal detachments and breaks (elena) [male]	NA	H33 Retinal detachments and breaks (elena) NA	ef_clinical_c_H33 em_clinical_c_H33	em_clinical_c_H33 ef_clinical_c_H33	Disease	em_clinical_c_H33:ef_clinical_c_H33	ef_clinical_c_H33:em_clinical_c_H33
em_clinical_c_H40	clinical_c_H40	H40 Glaucoma (elena)	H40 Glaucoma	206770	204357	2413	male	elena	H40 Glaucoma	H40 Glaucoma (elena) [male]	NA	H40 Glaucoma (elena) NA	ef_clinical_c_H40 em_clinical_c_H40	em_clinical_c_H40 ef_clinical_c_H40	Disease	em_clinical_c_H40:ef_clinical_c_H40	ef_clinical_c_H40:em_clinical_c_H40
em_clinical_c_I10	clinical_c_I10	I10 Essential (primary) hypertension (elena)	I10 Essential (primary) hypertension	206770	161132	45638	male	elena	I10 Essential (primary) hypertension	I10 Essential (primary) hypertension (elena) [male]	NA	I10 Essential (primary) hypertension (elena) NA	ef_clinical_c_I10 em_clinical_c_I10	em_clinical_c_I10 ef_clinical_c_I10	Disease	em_clinical_c_I10:ef_clinical_c_I10	ef_clinical_c_I10:em_clinical_c_I10
em_clinical_c_I20	clinical_c_I20	I20 Angina pectoris (elena)	I20 Angina pectoris	206770	193792	12978	male	elena	I20 Angina pectoris	I20 Angina pectoris (elena) [male]	NA	I20 Angina pectoris (elena) NA	ef_clinical_c_I20 em_clinical_c_I20	em_clinical_c_I20 ef_clinical_c_I20	Disease	em_clinical_c_I20:ef_clinical_c_I20	ef_clinical_c_I20:em_clinical_c_I20
em_clinical_c_I21	clinical_c_I21	I21 Acute myocardial infarction (elena)	I21 Acute myocardial infarction	206770	199965	6805	male	elena	I21 Acute myocardial infarction	I21 Acute myocardial infarction (elena) [male]	NA	I21 Acute myocardial infarction (elena) NA	ef_clinical_c_I21 em_clinical_c_I21	em_clinical_c_I21 ef_clinical_c_I21	Disease	em_clinical_c_I21:ef_clinical_c_I21	ef_clinical_c_I21:em_clinical_c_I21
em_clinical_c_I25	clinical_c_I25	I25 Chronic ischaemic heart disease (elena)	I25 Chronic ischaemic heart disease	206770	186778	19992	male	elena	I25 Chronic ischaemic heart disease	I25 Chronic ischaemic heart disease (elena) [male]	NA	I25 Chronic ischaemic heart disease (elena) NA	ef_clinical_c_I25 em_clinical_c_I25	em_clinical_c_I25 ef_clinical_c_I25	Disease	em_clinical_c_I25:ef_clinical_c_I25	ef_clinical_c_I25:em_clinical_c_I25
em_clinical_c_I26	clinical_c_I26	I26 Pulmonary embolism (elena)	I26 Pulmonary embolism	206770	204576	2194	male	elena	I26 Pulmonary embolism	I26 Pulmonary embolism (elena) [male]	NA	I26 Pulmonary embolism (elena) NA	ef_clinical_c_I26 em_clinical_c_I26	em_clinical_c_I26 ef_clinical_c_I26	Disease	em_clinical_c_I26:ef_clinical_c_I26	ef_clinical_c_I26:em_clinical_c_I26
em_clinical_c_I34	clinical_c_I34	I34 Nonrheumatic mitral valve disorders (elena)	I34 Nonrheumatic mitral valve disorders	206770	205299	1471	male	elena	I34 Nonrheumatic mitral valve disorders	I34 Nonrheumatic mitral valve disorders (elena) [male]	NA	I34 Nonrheumatic mitral valve disorders (elena) NA	ef_clinical_c_I34 em_clinical_c_I34	em_clinical_c_I34 ef_clinical_c_I34	Disease	em_clinical_c_I34:ef_clinical_c_I34	ef_clinical_c_I34:em_clinical_c_I34
em_clinical_c_I44	clinical_c_I44	I44 Atrioventricular and left bundle-branch block (elena)	I44 Atrioventricular and left bundle-branch block	206770	204195	2575	male	elena	I44 Atrioventricular and left bundle-branch block	I44 Atrioventricular and left bundle-branch block (elena) [male]	NA	I44 Atrioventricular and left bundle-branch block (elena) NA	ef_clinical_c_I44 em_clinical_c_I44	em_clinical_c_I44 ef_clinical_c_I44	Disease	em_clinical_c_I44:ef_clinical_c_I44	ef_clinical_c_I44:em_clinical_c_I44
em_clinical_c_I47	clinical_c_I47	I47 Paroxysmal tachycardia (elena)	I47 Paroxysmal tachycardia	206770	204854	1916	male	elena	I47 Paroxysmal tachycardia	I47 Paroxysmal tachycardia (elena) [male]	NA	I47 Paroxysmal tachycardia (elena) NA	ef_clinical_c_I47 em_clinical_c_I47	em_clinical_c_I47 ef_clinical_c_I47	Disease	em_clinical_c_I47:ef_clinical_c_I47	ef_clinical_c_I47:em_clinical_c_I47
em_clinical_c_I50	clinical_c_I50	I50 Heart failure (elena)	I50 Heart failure	206770	202608	4162	male	elena	I50 Heart failure	I50 Heart failure (elena) [male]	NA	I50 Heart failure (elena) NA	ef_clinical_c_I50 em_clinical_c_I50	em_clinical_c_I50 ef_clinical_c_I50	Disease	em_clinical_c_I50:ef_clinical_c_I50	ef_clinical_c_I50:em_clinical_c_I50
em_clinical_c_I80	clinical_c_I80	I80 Phlebitis and thrombophlebitis (elena)	I80 Phlebitis and thrombophlebitis	206770	204478	2292	male	elena	I80 Phlebitis and thrombophlebitis	I80 Phlebitis and thrombophlebitis (elena) [male]	NA	I80 Phlebitis and thrombophlebitis (elena) NA	ef_clinical_c_I80 em_clinical_c_I80	em_clinical_c_I80 ef_clinical_c_I80	Disease	em_clinical_c_I80:ef_clinical_c_I80	ef_clinical_c_I80:em_clinical_c_I80
em_clinical_c_I83	clinical_c_I83	I83 Varicose veins of lower extremities (elena)	I83 Varicose veins of lower extremities	206770	202711	4059	male	elena	I83 Varicose veins of lower extremities	I83 Varicose veins of lower extremities (elena) [male]	NA	I83 Varicose veins of lower extremities (elena) NA	ef_clinical_c_I83 em_clinical_c_I83	em_clinical_c_I83 ef_clinical_c_I83	Disease	em_clinical_c_I83:ef_clinical_c_I83	ef_clinical_c_I83:em_clinical_c_I83
em_clinical_c_I84	clinical_c_I84	I84 Haemorrhoids (elena)	I84 Haemorrhoids	206770	194100	12670	male	elena	I84 Haemorrhoids	I84 Haemorrhoids (elena) [male]	NA	I84 Haemorrhoids (elena) NA	ef_clinical_c_I84 em_clinical_c_I84	em_clinical_c_I84 ef_clinical_c_I84	Disease	em_clinical_c_I84:ef_clinical_c_I84	ef_clinical_c_I84:em_clinical_c_I84
em_clinical_c_J32	clinical_c_J32	J32 Chronic sinusitis (elena)	J32 Chronic sinusitis	206770	205479	1291	male	elena	J32 Chronic sinusitis	J32 Chronic sinusitis (elena) [male]	NA	J32 Chronic sinusitis (elena) NA	ef_clinical_c_J32 em_clinical_c_J32	em_clinical_c_J32 ef_clinical_c_J32	Disease	em_clinical_c_J32:ef_clinical_c_J32	ef_clinical_c_J32:em_clinical_c_J32
em_clinical_c_J33	clinical_c_J33	J33 Nasal polyp (elena)	J33 Nasal polyp	206770	204420	2350	male	elena	J33 Nasal polyp	J33 Nasal polyp (elena) [male]	NA	J33 Nasal polyp (elena) NA	ef_clinical_c_J33 em_clinical_c_J33	em_clinical_c_J33 ef_clinical_c_J33	Disease	em_clinical_c_J33:ef_clinical_c_J33	ef_clinical_c_J33:em_clinical_c_J33
em_clinical_c_J44	clinical_c_J44	J44 Other chronic obstructive pulmonary disease (elena)	J44 Other chronic obstructive pulmonary disease	206770	201649	5121	male	elena	J44 Other chronic obstructive pulmonary disease	J44 Other chronic obstructive pulmonary disease (elena) [male]	NA	J44 Other chronic obstructive pulmonary disease (elena) NA	ef_clinical_c_J44 em_clinical_c_J44	em_clinical_c_J44 ef_clinical_c_J44	Disease	em_clinical_c_J44:ef_clinical_c_J44	ef_clinical_c_J44:em_clinical_c_J44
em_clinical_c_J45	clinical_c_J45	J45 Asthma (elena)	J45 Asthma	206770	195444	11326	male	elena	J45 Asthma	J45 Asthma (elena) [male]	NA	J45 Asthma (elena) NA	ef_clinical_c_J45 em_clinical_c_J45	em_clinical_c_J45 ef_clinical_c_J45	Disease	em_clinical_c_J45:ef_clinical_c_J45	ef_clinical_c_J45:em_clinical_c_J45
em_clinical_c_K20	clinical_c_K20	K20 Oesophagitis (elena)	K20 Oesophagitis	206770	201396	5374	male	elena	K20 Oesophagitis	K20 Oesophagitis (elena) [male]	NA	K20 Oesophagitis (elena) NA	ef_clinical_c_K20 em_clinical_c_K20	em_clinical_c_K20 ef_clinical_c_K20	Disease	em_clinical_c_K20:ef_clinical_c_K20	ef_clinical_c_K20:em_clinical_c_K20
em_clinical_c_K21	clinical_c_K21	K21 Gastro-oesophageal reflux disease (elena)	K21 Gastro-oesophageal reflux disease	206770	195378	11392	male	elena	K21 Gastro-oesophageal reflux disease	K21 Gastro-oesophageal reflux disease (elena) [male]	NA	K21 Gastro-oesophageal reflux disease (elena) NA	ef_clinical_c_K21 em_clinical_c_K21	em_clinical_c_K21 ef_clinical_c_K21	Disease	em_clinical_c_K21:ef_clinical_c_K21	ef_clinical_c_K21:em_clinical_c_K21
em_clinical_c_K25	clinical_c_K25	K25 Gastric ulcer (elena)	K25 Gastric ulcer	206770	204427	2343	male	elena	K25 Gastric ulcer	K25 Gastric ulcer (elena) [male]	NA	K25 Gastric ulcer (elena) NA	ef_clinical_c_K25 em_clinical_c_K25	em_clinical_c_K25 ef_clinical_c_K25	Disease	em_clinical_c_K25:ef_clinical_c_K25	ef_clinical_c_K25:em_clinical_c_K25
em_clinical_c_K29	clinical_c_K29	K29 Gastritis and duodenitis (elena)	K29 Gastritis and duodenitis	206770	192974	13796	male	elena	K29 Gastritis and duodenitis	K29 Gastritis and duodenitis (elena) [male]	NA	K29 Gastritis and duodenitis (elena) NA	ef_clinical_c_K29 em_clinical_c_K29	em_clinical_c_K29 ef_clinical_c_K29	Disease	em_clinical_c_K29:ef_clinical_c_K29	ef_clinical_c_K29:em_clinical_c_K29
em_clinical_c_K30	clinical_c_K30	K30 Dyspepsia (elena)	K30 Dyspepsia	206770	202004	4766	male	elena	K30 Dyspepsia	K30 Dyspepsia (elena) [male]	NA	K30 Dyspepsia (elena) NA	ef_clinical_c_K30 em_clinical_c_K30	em_clinical_c_K30 ef_clinical_c_K30	Disease	em_clinical_c_K30:ef_clinical_c_K30	ef_clinical_c_K30:em_clinical_c_K30
em_clinical_c_K40	clinical_c_K40	K40 Inguinal hernia (elena)	K40 Inguinal hernia	206770	190793	15977	male	elena	K40 Inguinal hernia	K40 Inguinal hernia (elena) [male]	NA	K40 Inguinal hernia (elena) NA	ef_clinical_c_K40 em_clinical_c_K40	em_clinical_c_K40 ef_clinical_c_K40	Disease	em_clinical_c_K40:ef_clinical_c_K40	ef_clinical_c_K40:em_clinical_c_K40
em_clinical_c_K42	clinical_c_K42	K42 Umbilical hernia (elena)	K42 Umbilical hernia	206770	203744	3026	male	elena	K42 Umbilical hernia	K42 Umbilical hernia (elena) [male]	NA	K42 Umbilical hernia (elena) NA	ef_clinical_c_K42 em_clinical_c_K42	em_clinical_c_K42 ef_clinical_c_K42	Disease	em_clinical_c_K42:ef_clinical_c_K42	ef_clinical_c_K42:em_clinical_c_K42
