sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	pair_m_f_	pair_m_f_inv
K62_m	K62	Diagnoses - main ICD10: K62 Other diseases of anus and rectum (neales)	Diagnoses - main ICD10: K62 Other diseases of anus and rectum	167020	160324	6696	male	neales	Diagnoses - main ICD10: K62 Other diseases of anus and rectum	Diagnoses - main ICD10: K62 Other diseases of anus and rectum (neales) [male]	NA	Diagnoses - main ICD10: K62 Other diseases of anus and rectum (neales) NA	K62_f K62_m	K62_m K62_f	Disease	K62_m:K62_f	K62_f:K62_m
M17_f	M17	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee] (neales)	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	194174	188346	5828	female	neales	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee] (neales) [female]	NA	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee] (neales) NA	M17_f M17_m	M17_m M17_f	Disease	M17_m:M17_f	M17_f:M17_m
M17_m	M17	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee] (neales)	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	167020	161351	5669	male	neales	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee] (neales) [male]	NA	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee] (neales) NA	M17_f M17_m	M17_m M17_f	Disease	M17_m:M17_f	M17_f:M17_m
M23_f	M23	Diagnoses - main ICD10: M23 Internal derangement of knee (neales)	Diagnoses - main ICD10: M23 Internal derangement of knee	194174	189167	5007	female	neales	Diagnoses - main ICD10: M23 Internal derangement of knee	Diagnoses - main ICD10: M23 Internal derangement of knee (neales) [female]	NA	Diagnoses - main ICD10: M23 Internal derangement of knee (neales) NA	M23_f M23_m	M23_m M23_f	Disease	M23_m:M23_f	M23_f:M23_m
M23_m	M23	Diagnoses - main ICD10: M23 Internal derangement of knee (neales)	Diagnoses - main ICD10: M23 Internal derangement of knee	167020	160196	6824	male	neales	Diagnoses - main ICD10: M23 Internal derangement of knee	Diagnoses - main ICD10: M23 Internal derangement of knee (neales) [male]	NA	Diagnoses - main ICD10: M23 Internal derangement of knee (neales) NA	M23_f M23_m	M23_m M23_f	Disease	M23_m:M23_f	M23_f:M23_m
R07_f	R07	Diagnoses - main ICD10: R07 Pain in throat and chest (neales)	Diagnoses - main ICD10: R07 Pain in throat and chest	194174	182027	12147	female	neales	Diagnoses - main ICD10: R07 Pain in throat and chest	Diagnoses - main ICD10: R07 Pain in throat and chest (neales) [female]	NA	Diagnoses - main ICD10: R07 Pain in throat and chest (neales) NA	R07_f R07_m	R07_m R07_f	Disease	R07_m:R07_f	R07_f:R07_m
R07_m	R07	Diagnoses - main ICD10: R07 Pain in throat and chest (neales)	Diagnoses - main ICD10: R07 Pain in throat and chest	167020	154637	12383	male	neales	Diagnoses - main ICD10: R07 Pain in throat and chest	Diagnoses - main ICD10: R07 Pain in throat and chest (neales) [male]	NA	Diagnoses - main ICD10: R07 Pain in throat and chest (neales) NA	R07_f R07_m	R07_m R07_f	Disease	R07_m:R07_f	R07_f:R07_m
R10_f	R10	Diagnoses - main ICD10: R10 Abdominal and pelvic pain (neales)	Diagnoses - main ICD10: R10 Abdominal and pelvic pain	194174	181146	13028	female	neales	Diagnoses - main ICD10: R10 Abdominal and pelvic pain	Diagnoses - main ICD10: R10 Abdominal and pelvic pain (neales) [female]	NA	Diagnoses - main ICD10: R10 Abdominal and pelvic pain (neales) NA	R10_f R10_m	R10_m R10_f	Disease	R10_m:R10_f	R10_f:R10_m
R10_m	R10	Diagnoses - main ICD10: R10 Abdominal and pelvic pain (neales)	Diagnoses - main ICD10: R10 Abdominal and pelvic pain	167020	159808	7212	male	neales	Diagnoses - main ICD10: R10 Abdominal and pelvic pain	Diagnoses - main ICD10: R10 Abdominal and pelvic pain (neales) [male]	NA	Diagnoses - main ICD10: R10 Abdominal and pelvic pain (neales) NA	R10_f R10_m	R10_m R10_f	Disease	R10_m:R10_f	R10_f:R10_m
a13f	a13	Cardiovascular disease (requested)	Cardiovascular disease	333496	310499	22997	female	requested	Cardiovascular disease	Cardiovascular disease (requested) [female]	36474045	Cardiovascular disease (requested) 36474045	a13f a13m	a13m a13f	Disease	a13m:a13f	a13f:a13m
