sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	trait_name_clean	type	PPREV	SPREV	Intercept	Intercept_SE	Ratio	Ratio_SE	H2	H2_SE	H2_Z	H2_P	H2L	H2L_VAR	H2L_SE	H2L_P	H2_power_diff0.1	H2_power_diff0.05	H2_power_diff0.02	H2_power_diff0.01	neff	neff_power_univ_cat	neff_power_biv_cat	neff_power_part_cat
96f	96	Height SDS (at age 10) (atlas)	Height SDS	6974	NA	NA	female	atlas	Height SDS	Height SDS (at age 10) (atlas) [female]	23449627	Height SDS (atlas) 23449627	96f 97m	97m 96f	Antropometric	Height SDS	BIN	0	NA	0.9583	0.0075	NA		0.5669	0.0718	7.89554317548746	1.44526793496081e-15	0.5669	NA	0.0718	1.44526793496081e-15	0.285687111565414	0.107139145745709	0.0589351425724498	0.0522250178148048	6974	SNPh2 0.2	none	none
97m	97	Height SDS (at age 12) (atlas)	Height SDS	6986	NA	NA	male	atlas	Height SDS	Height SDS (at age 12) (atlas) [male]	23449627	Height SDS (atlas) 23449627	96f 97m	97m 96f	Antropometric	Height SDS	BIN	0	NA	0.9758	0.0078	NA		0.3947	0.0828	4.76690821256039	9.35372414232316e-07	0.3947	NA	0.0828	9.35372414232316e-07	0.226723287297001	0.0927100266228913	0.056710165531348	0.0516725420753215	6986	SNPh2 0.2	none	none
99f	99	Pubertal growth  (atlas)	Pubertal growth	5756	NA	NA	female	atlas	Pubertal growth	Pubertal growth  (atlas) [female]	23449627	Pubertal growth  (atlas) 23449627	100m 99f	100m 99f	Developmental	Pubertal growth	BIN	0	NA	0.9837	0.0067	NA		0.3724	0.0885	4.20790960451977	1.28871962905551e-05	0.3724	NA	0.0885	1.28871962905551e-05	0.204264696052653	0.0872950632682678	0.0558707678967202	0.051463849332402	5756	SNPh2 0.2	none	none
ADr1uf	ADr1u	Alzheimer's Disease (requested)	Alzheimer's Disease	352074	327486	24588	female	requested	Alzheimer's Disease	Alzheimer's Disease (requested) [female]	NA	Alzheimer's Disease (requested) NA	ADr1uf ADr1um	ADr1um ADr1uf	Disease	Alzheimer's Disease	QT	0.0221945022307375	0.0698375909609912	0.9809	0.0083	NA		0.0052	0.0013	4	3.16712418331199e-05	0.0134840478532159	1.13637216567386e-05	0.00337101196330398	6.33424836662398e-05	1	1	1	0.999999995047385	22870.8333134511	SNPh2 0.1	SNPh2 0.2	none
ADr1um	ADr1u	Alzheimer's Disease (requested)	Alzheimer's Disease	286959	268018	18941	male	requested	Alzheimer's Disease	Alzheimer's Disease (requested) [male]	NA	Alzheimer's Disease (requested) NA	ADr1uf ADr1um	ADr1um ADr1uf	Disease	Alzheimer's Disease	QT	0.0120610953689447	0.0660059451001711	0.9707	0.0071	NA		0.0058	0.0015	3.86666666666667	5.51665350272788e-05	0.0135725145473722	1.2321034187334e-05	0.00351013307259625	0.000110333070054557	1	1	1	0.999998741221653	17690.7813938577	SNPh2 0.1	SNPh2 0.2	none
a13f	a13	Cardiovascular disease (requested)	Cardiovascular disease	333496	310499	22997	female	requested	Cardiovascular disease	Cardiovascular disease (requested) [female]	36474045	Cardiovascular disease (requested) 36474045	a13f a13m	a13m a13f	Disease	Cardiovascular disease	QT	0.132109741049228	0.0689573488137789	0.993	0.0084	NA		0.0257	0.0023	11.1739130434783	2.73580604738461e-29	0.115004802763239	0.000105930587357953	0.0102922586130525	5.47161209476923e-29	1	1	0.999999999991842	0.991526650572126	21411.1878493295	SNPh2 0.1	SNPh2 0.2	none
a13m	a13	Cardiovascular disease (requested)	Cardiovascular disease	294536	240453	54083	male	requested	Cardiovascular disease	Cardiovascular disease (requested) [male]	36474045	Cardiovascular disease (requested) 36474045	a13f a13m	a13m a13f	Disease	Cardiovascular disease	QT	0.138646250564361	0.183621017464758	0.9983	0.0094	NA		0.0546	0.004	13.65	1.00939282671678e-42	0.106252858304773	6.05920911212235e-05	0.00778409218349985	2.01878565343355e-42	1	1	0.998817250703504	0.7054180011138	44152.2245124535	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
a1f	a1	Insomnia (requested)	Insomnia	208958	141982	66976	female	requested	Insomnia	Insomnia (requested) [female]	35835914	Insomnia (requested) 35835914	a1f a1m	a1m a1f	Condition	Insomnia	QT	0.0074	0.320523741613147	1.0094	0.0079	0.0405	0.0341	0.0543	0.0032	16.96875	6.99389410999531e-65	0.0321158259230244	3.58210645215427e-06	0.00189264535826295	1.39877882199914e-64	1	1	0.999991067792745	0.877997976501035	45508.6018817179	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
a1m	a1	Insomnia (requested)	Insomnia	178030	135458	42572	male	requested	Insomnia	Insomnia (requested) [male]	35835914	Insomnia (requested) 35835914	a1f a1m	a1m a1f	Condition	Insomnia	QT	0.006	0.23912823681402	1.0006	0.0085	0.004	0.0544	0.0442	0.0035	12.6285714285714	7.34606619702638e-37	0.0298889538944352	5.60161143817181e-06	0.0023667723672064	1.46921323940531e-36	1	1	0.999913094251896	0.81518898976	32391.8327023535	SNPh2 0.1	SNPh2 0.2	SNPh2 0.2
a21f	a21	Grip strength measurement/ Muscle weakness (requested)	Grip strength measurement/ Muscle weakness	135468	100879	34589	female	requested	Grip strength measurement/ Muscle weakness	Grip strength measurement/ Muscle weakness (requested) [female]	33510174	Grip strength measurement/ Muscle weakness (requested) 33510174	a21f a21m	a21m a21f	Trait	Grip strength measurement/ Muscle weakness	QT	0.255329672	0.255329671952048	0.989	0.0073	NA		0.0597	0.0046	12.9782608695652	8.1264601351219e-39	0.109937440762488	7.17560042116052e-05	0.00847089158303925	1.62529202702439e-38	1	1	0.991526650572126	0.584724443535572	25757.4019768506	SNPh2 0.1	SNPh2 0.2	SNPh2 0.2
