Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
4374f	a29f	1.0164	0.0087	0.0345	0.0608	0.5702
4374f	a30f	0.9523	0.0089	-0.055	0.054	0.3081
4374f	a7f	0.9535	0.0079	0.0604	0.098	0.5379
4374f	a8f	1.05	0.013	-0.0553	0.0638	0.3861
4374f	a9f	1.0582	0.0085	-0.0206	0.1295	0.8735
4374f	ADr1uf	1.0091	0.0323	-0.0412	0.3264	0.8996
4374f	bm1f	1.0057	0.007	-0.0253	0.162	0.8756
4374f	bm2f	0.9946	0.0073	-0.0178	0.1219	0.8841
4374f	bm4f	1.0058	0.007	0.1511	0.1465	0.3022
4374f	bm5f	1.005	0.0079	0.0143	0.0927	0.8777
4374f	bm6f	1.0068	0.0091	-0.0645	0.0998	0.5183
4374f	bm7f	1.0047	0.0089	-0.1047	0.0962	0.2761
4374f	bm8f	0.9982	0.0073	-0.1241	0.1032	0.2291
4374f	ch1f	0.9976	0.0067	-0.0156	0.1378	0.91
4374f	ch4f	0.9977	0.0064	0.0396	0.1806	0.8264
4374f	ch5f	0.9931	0.0064	0.0155	0.1239	0.9004
4374f	ch6f	1.0031	0.0067	-0.1013	0.1463	0.4885
4374f	l1f	1.1163	0.037	-0.0245	0.0427	0.566
4374f	l2f	1.0816	0.0311	-0.0252	0.0559	0.6521
4374f	l3f	1.1196	0.0331	-0.0417	0.0553	0.4513
4374f	l4f	1.0951	0.0331	-0.0505	0.0501	0.3133
4374f	l5f	1.0982	0.0305	-0.0329	0.0543	0.5449
4374f	r10f	0.9692	0.0089	-0.0214	0.1136	0.8504
4374f	r4f	0.9989	0.0065	-0.0034	0.0829	0.9673
4374f	r5f	1.0578	0.0098	-0.0421	0.0643	0.512
4374f	r8f	0.9983	0.0076	-0.1119	0.0763	0.1428
4374f	r9f	1.0105	0.0064	0.0617	0.1341	0.6456
48f	48f	0.9706	0.0074	1.0	6.8561e-08	0.0
48f	51f	0.9748	0.0063	-0.6489	0.0481	1.7494e-41
48f	96f	0.9588	0.0077	0.0523	0.0615	0.3952
48f	99f	0.9835	0.0068	0.2054	0.0985	0.0371
48f	a13f	0.9894	0.0083	-0.3999	0.0492	4.1041e-16
48f	a1f	1.0084	0.0079	-0.3525	0.0378	1.0926e-20
48f	a21f	0.9884	0.0075	-0.2055	0.0477	1.6379e-05
48f	a22f	1.0205	0.0074	-0.2427	0.0374	9.0516e-11
48f	a27f	1.0193	0.0335	-0.1397	0.0807	0.0836
48f	a28f	1.0165	0.0092	-0.2995	0.0889	0.0008
48f	a29f	1.0141	0.0083	-0.5325	0.0368	1.9477e-47
48f	a30f	0.9507	0.0091	0.7383	0.0299	1.7291e-134
48f	a7f	0.9546	0.0071	0.1221	0.0599	0.0415
48f	a8f	1.0475	0.012	-0.349	0.0403	4.3338e-18
48f	a9f	1.0584	0.0092	-0.7776	0.0925	4.2479e-17
48f	ADr1uf	1.0038	0.0254	0.3199	0.2439	0.1895
48f	bm1f	1.007	0.0069	-5.5719e-05	0.0892	0.9995
48f	bm2f	0.9934	0.0069	-0.1675	0.0798	0.0358
48f	bm4f	1.0054	0.0068	-0.0506	0.0913	0.5797
48f	bm5f	1.0012	0.0078	-0.0447	0.0552	0.4174
48f	bm6f	1.0078	0.0095	-0.0319	0.055	0.5615
48f	bm7f	1.0084	0.009	-0.0189	0.054	0.7265
48f	bm8f	1.0008	0.0069	-0.0019	0.0697	0.978
48f	ch1f	0.999	0.0065	0.3828	0.0837	4.7439e-06
48f	ch4f	0.9975	0.0066	0.4147	0.1152	0.0003
48f	ch5f	0.9951	0.0061	0.451	0.1032	1.2366e-05
48f	ch6f	1.0033	0.0065	0.4001	0.0933	1.7960e-05
48f	l1f	1.0961	0.0314	0.3367	0.0277	5.4545e-34
48f	l2f	1.0646	0.0281	-0.1576	0.0302	1.8519e-07
48f	l3f	1.1012	0.0296	-0.1063	0.0301	0.0004
48f	l4f	1.0762	0.0277	-0.3583	0.0313	2.2002e-30
48f	l5f	1.0806	0.0279	-0.2176	0.0315	5.1737e-12
48f	r10f	0.9666	0.0085	-0.3584	0.0651	3.7552e-08
48f	r4f	0.9974	0.0061	-0.4267	0.0549	7.5580e-15
48f	r5f	1.0544	0.0097	0.0055	0.047	0.9067
48f	r8f	0.9974	0.0075	-0.0351	0.0463	0.4481
48f	r9f	1.0091	0.0065	-0.0123	0.0625	0.8439
49m	48f	0.9704	0.0073	0.8869	0.0571	1.7568e-54
49m	49m	0.9425	0.0066	1.0	8.8268e-06	0.0
49m	52m	0.9708	0.0061	-0.5935	0.0675	1.4292e-18
49m	97m	0.9759	0.0075	-0.0287	0.0897	0.7495
49m	a13m	0.9981	0.0117	-0.2825	0.0502	1.8681e-08
49m	a1m	1.0003	0.008	-0.2036	0.0632	0.0013
49m	a21m	1.0206	0.0069	-0.0994	0.0764	0.1931
49m	a22m	1.017	0.0075	-0.16	0.0543	0.0032
49m	a27m	1.0168	0.0296	-0.0806	0.118	0.4948
49m	a28m	1.0078	0.0245	-0.2832	0.1425	0.0468
49m	a29m	1.0162	0.0084	-0.497	0.0518	9.2493e-22
49m	a30m	0.9461	0.0079	0.6523	0.0443	3.5727e-49
49m	a7m	0.9595	0.0074	0.0672	0.0621	0.2792
49m	a8m	1.0348	0.0139	-0.2607	0.0412	2.4317e-10
49m	a9m	1.0065	0.0082	-0.4584	0.0637	6.3664e-13
49m	ADr1um	0.993	0.0199	0.1094	0.2071	0.5971
49m	bm1m	1.0038	0.0063	-0.1134	0.0879	0.1974
49m	bm2m	0.9996	0.0079	0.0416	0.0961	0.665
49m	bm4m	0.9947	0.0063	0.0479	0.1324	0.7174
49m	bm5m	1.0039	0.0075	-0.0218	0.0708	0.7581
49m	bm6m	0.996	0.0081	-0.0374	0.0671	0.5767
49m	bm7m	1.0038	0.0077	-0.071	0.067	0.2897
49m	bm8m	1.0087	0.0064	-0.0841	0.1008	0.4041
49m	ch1m	1.0013	0.007	0.3804	0.1158	0.001
49m	ch4m	0.9992	0.0059	0.2059	0.1136	0.07
49m	ch5m	1.0045	0.0061	0.4946	0.1377	0.0003
49m	ch6m	0.9896	0.0064	0.4462	0.114	9.0924e-05
49m	l1m	1.0713	0.0323	0.2498	0.0312	1.2228e-15
49m	l2m	1.0533	0.0272	-0.0996	0.0375	0.0079
49m	l3m	1.0914	0.0302	-0.1236	0.0346	0.0004
49m	l4m	1.044	0.0307	-0.2952	0.0366	7.7266e-16
49m	l5m	1.0681	0.0243	-0.2089	0.0414	4.4274e-07
49m	r10m	0.9964	0.0082	-0.3398	0.1216	0.0052
49m	r4m	1.0153	0.0063	-0.4556	0.0864	1.3522e-07
49m	r5m	1.006	0.0123	-0.0504	0.0458	0.2709
49m	r8m	1.0058	0.0078	-0.3384	0.0542	4.3728e-10
49m	r9m	0.995	0.0066	-0.2637	0.0806	0.0011
51f	51f	0.9747	0.0063	1.0	1.8435e-06	0.0
51f	96f	0.9588	0.0077	-0.0278	0.0801	0.7288
51f	99f	0.9835	0.0069	0.0488	0.1238	0.6934
51f	a13f	0.9894	0.0083	0.2323	0.0626	0.0002
51f	a1f	1.0084	0.0079	0.1426	0.0644	0.0267
51f	a21f	0.9885	0.0075	0.1329	0.0608	0.0289
51f	a22f	1.0206	0.0074	0.1593	0.0462	0.0006
51f	a27f	1.0197	0.0336	0.1604	0.102	0.1159
51f	a28f	1.0165	0.0092	-0.0286	0.1158	0.8052
51f	a29f	1.0141	0.0083	0.2965	0.0496	2.3078e-09
51f	a30f	0.9507	0.0091	-0.2044	0.0438	3.1317e-06
51f	a7f	0.9546	0.0071	-0.0505	0.0705	0.4741
51f	a8f	1.0475	0.012	0.1443	0.0481	0.0027
51f	a9f	1.0584	0.0092	0.4302	0.1109	0.0001
51f	ADr1uf	1.0038	0.0254	-0.2828	0.2701	0.295
51f	bm1f	1.007	0.007	-0.0172	0.1225	0.8887
51f	bm2f	0.9934	0.0069	-0.1036	0.0798	0.1939
51f	bm4f	1.0055	0.0068	-0.0692	0.1192	0.5615
51f	bm5f	1.0011	0.0078	-0.0579	0.0701	0.4089
51f	bm6f	1.0078	0.0095	-0.0139	0.0725	0.8483
51f	bm7f	1.0084	0.009	-0.0265	0.071	0.7095
51f	bm8f	1.0009	0.0069	0.0913	0.0821	0.266
51f	ch1f	0.999	0.0065	-0.2218	0.1002	0.0269
51f	ch4f	0.9975	0.0066	-0.3541	0.1382	0.0104
51f	ch5f	0.9951	0.0061	-0.277	0.1184	0.0193
51f	ch6f	1.0033	0.0065	-0.2765	0.1143	0.0156
51f	l1f	1.0961	0.0315	-0.1858	0.0377	8.1298e-07
51f	l2f	1.0644	0.0281	0.0877	0.0401	0.0285
51f	l3f	1.1011	0.0296	0.0359	0.041	0.3811
51f	l4f	1.0759	0.0277	0.1679	0.0427	8.3167e-05
51f	l5f	1.0805	0.0279	0.1173	0.041	0.0042
51f	r10f	0.9666	0.0085	0.2308	0.0865	0.0076
51f	r4f	0.9974	0.0061	0.2246	0.0676	0.0009
51f	r5f	1.0544	0.0097	-0.0112	0.0565	0.8422
51f	r8f	0.9974	0.0075	0.1133	0.0641	0.0771
51f	r9f	1.0091	0.0065	0.0556	0.089	0.5322
52m	51f	0.9746	0.0063	0.8935	0.0996	2.8759e-19
52m	52m	0.9705	0.0061	1.0	7.3447e-06	0.0
52m	97m	0.9759	0.0075	0.1318	0.1224	0.2816
52m	a13m	0.998	0.0116	0.1626	0.0633	0.0102
52m	a1m	1.0002	0.008	0.2906	0.071	4.2096e-05
52m	a21m	1.0209	0.007	-0.0396	0.0977	0.6856
52m	a22m	1.0171	0.0075	-0.0356	0.0646	0.5815
52m	a27m	1.0164	0.0297	0.162	0.1195	0.1752
52m	a28m	1.0073	0.0243	0.0469	0.1487	0.7526
52m	a29m	1.0161	0.0084	0.253	0.0641	7.8869e-05
52m	a30m	0.9461	0.0079	-0.2902	0.0479	1.3819e-09
52m	a7m	0.9594	0.0074	-0.1595	0.0753	0.0343
52m	a8m	1.0347	0.0139	0.1374	0.0436	0.0016
52m	a9m	1.0065	0.0082	0.5076	0.0755	1.7998e-11
52m	ADr1um	0.9933	0.0199	-0.304	0.3342	0.3631
52m	bm1m	1.0035	0.0063	-0.1364	0.1142	0.2324
52m	bm2m	0.9995	0.0079	0.0556	0.11	0.6132
52m	bm4m	0.995	0.0063	0.0536	0.1439	0.7096
52m	bm5m	1.0039	0.0075	-0.0105	0.0853	0.902
52m	bm6m	0.996	0.0081	0.0808	0.0775	0.297
52m	bm7m	1.0038	0.0077	0.1331	0.0789	0.0917
52m	bm8m	1.0085	0.0064	-0.0815	0.1189	0.4932
52m	ch1m	1.0013	0.007	-0.2769	0.1591	0.0817
52m	ch4m	0.9991	0.0059	-0.2055	0.1476	0.1639
52m	ch5m	1.0045	0.0061	-0.1678	0.1659	0.312
52m	ch6m	0.9896	0.0064	-0.3443	0.1408	0.0145
52m	l1m	1.0711	0.0322	-0.1414	0.0395	0.0003
52m	l2m	1.0534	0.0273	0.0145	0.0398	0.7153
52m	l3m	1.0917	0.0302	-0.0197	0.0379	0.604
52m	l4m	1.0444	0.0307	0.0978	0.0377	0.0094
52m	l5m	1.0685	0.0243	0.0099	0.0445	0.8247
52m	r10m	0.9963	0.0082	0.4994	0.1585	0.0016
52m	r4m	1.0157	0.0064	0.3469	0.0971	0.0004
52m	r5m	1.0061	0.0123	0.0696	0.0484	0.1504
52m	r8m	1.0058	0.0078	0.4164	0.0719	7.0092e-09
52m	r9m	0.995	0.0066	0.0847	0.0996	0.3954
96f	96f	0.9584	0.0076	1.0	2.8071e-06	0.0
96f	99f	0.9828	0.0066	-0.048	0.1205	0.6906
96f	a13f	0.9872	0.0091	-0.1052	0.0702	0.1338
96f	a1f	1.0108	0.0088	-0.1087	0.063	0.0842
96f	a21f	0.9824	0.0085	-0.2215	0.077	0.004
96f	a22f	1.0236	0.0085	-0.0182	0.0552	0.7418
96f	a27f	1.0466	0.0377	0.1085	0.1185	0.3601
96f	a28f	1.0173	0.0097	-0.0321	0.1184	0.7865
96f	a29f	1.022	0.0091	-0.0198	0.0532	0.7096
96f	a30f	0.9564	0.0098	0.1725	0.0519	0.0009
96f	a7f	0.9521	0.0084	0.0036	0.1062	0.9733
96f	a8f	1.0483	0.0133	0.0418	0.0549	0.4462
96f	a9f	1.0539	0.0088	-0.124	0.1126	0.2708
96f	ADr1uf	0.9986	0.0219	0.1726	0.2298	0.4526
96f	bm1f	1.0063	0.007	-0.0036	0.1443	0.9801
96f	bm2f	0.9934	0.0076	-0.1995	0.1167	0.0875
96f	bm4f	1.0079	0.0075	-0.2185	0.146	0.1345
96f	bm5f	1.0031	0.0085	0.0695	0.0793	0.3811
96f	bm6f	1.0025	0.0094	-0.016	0.0754	0.8319
96f	bm7f	1.001	0.0095	0.0069	0.0787	0.9302
96f	bm8f	0.9986	0.0079	-0.1115	0.0859	0.194
96f	ch1f	0.9996	0.0071	0.1255	0.1089	0.2492
96f	ch4f	1.0001	0.0069	0.472	0.1883	0.0122
96f	ch5f	0.9951	0.0071	0.1814	0.1581	0.2512
96f	ch6f	0.9991	0.0074	-0.1147	0.1308	0.3806
96f	l1f	1.1089	0.0352	0.0363	0.0386	0.3475
96f	l2f	1.0807	0.0295	-0.0797	0.0488	0.1023
96f	l3f	1.1225	0.0343	-0.0972	0.0468	0.0377
96f	l4f	1.0884	0.0308	-0.1084	0.0501	0.0304
96f	l5f	1.0975	0.0298	-0.117	0.0475	0.0138
96f	r10f	0.9681	0.0085	-0.1297	0.0927	0.1617
96f	r4f	0.9971	0.0072	-0.2096	0.08	0.0088
96f	r5f	1.0522	0.01	-0.0095	0.0542	0.8616
96f	r8f	1.0014	0.0077	0.0561	0.0783	0.4737
96f	r9f	1.0085	0.0073	0.2489	0.1082	0.0214
97m	96f	0.9576	0.0077	0.8219	0.1338	8.1657e-10
97m	97m	0.9759	0.0077	1.0	7.5672e-06	0.0
97m	a13m	1.0042	0.013	-0.0554	0.0739	0.4535
97m	a1m	0.9943	0.0092	-0.1726	0.0836	0.039
97m	a21m	1.0223	0.0076	-0.1793	0.1117	0.1083
97m	a22m	1.0224	0.0089	-0.0196	0.0751	0.7943
97m	a27m	1.0385	0.0313	-0.0058	0.094	0.9508
97m	a28m	0.9962	0.0236	0.1563	0.1178	0.1846
97m	a29m	1.0214	0.01	-0.0066	0.0768	0.9314
97m	a30m	0.9564	0.009	0.0874	0.0566	0.1229
97m	a7m	0.961	0.0084	0.1159	0.0883	0.1893
97m	a8m	1.04	0.0167	0.1644	0.0596	0.0058
97m	a9m	1.0086	0.0092	0.0569	0.0811	0.4825
97m	ADr1um	0.9752	0.0157	-0.2507	0.1944	0.1972
97m	bm1m	1.0069	0.0072	-0.0639	0.1501	0.6701
97m	bm2m	0.9972	0.0085	-0.0705	0.1453	0.6278
97m	bm4m	0.9938	0.008	0.0168	0.158	0.9151
97m	bm5m	1.0081	0.008	-0.0414	0.1056	0.6947
97m	bm6m	0.9967	0.0085	-0.2534	0.1012	0.0122
97m	bm7m	1.0017	0.0082	-0.229	0.1073	0.0328
97m	bm8m	1.0123	0.0071	0.0466	0.1466	0.7508
97m	ch1m	0.9991	0.0075	0.1682	0.1469	0.2523
97m	ch4m	0.9971	0.0068	0.07	0.1415	0.6209
97m	ch5m	1.0024	0.0068	0.0618	0.1781	0.7286
97m	ch6m	0.9879	0.0071	-0.0573	0.1425	0.6878
97m	l1m	1.1	0.0392	-0.1902	0.0502	0.0002
97m	l2m	1.0571	0.0314	-0.0885	0.0579	0.1267
97m	l3m	1.1034	0.0353	-0.111	0.059	0.06
97m	l4m	1.0652	0.0367	0.0512	0.054	0.3431
97m	l5m	1.0711	0.0262	-0.0713	0.0683	0.2967
97m	r10m	0.9963	0.0086	0.0185	0.1503	0.9023
97m	r4m	1.011	0.0071	-0.0973	0.1105	0.3781
97m	r5m	1.0072	0.0126	-0.1159	0.062	0.0617
97m	r8m	1.005	0.008	0.1069	0.0773	0.1669
97m	r9m	0.9973	0.0069	0.0936	0.1208	0.4387
99f	99f	0.9836	0.0067	1.0	3.9326e-06	0.0
99f	a13f	0.9863	0.0089	-0.0028	0.0838	0.9737
99f	a1f	1.0112	0.0087	-0.077	0.0846	0.3627
99f	a21f	0.9832	0.0085	-0.1135	0.1056	0.2822
99f	a22f	1.0222	0.0085	0.0377	0.0788	0.6325
99f	a27f	1.0418	0.0368	0.0112	0.1078	0.9171
99f	a28f	1.017	0.0095	-0.5682	0.215	0.0082
99f	a29f	1.0218	0.0091	0.0627	0.0714	0.3795
99f	a30f	0.9537	0.0095	0.0932	0.0656	0.155
99f	a7f	0.9528	0.0084	0.0374	0.1168	0.7487
99f	a8f	1.0471	0.013	-0.1644	0.0807	0.0415
99f	a9f	1.0556	0.0089	-0.0631	0.1413	0.6551
99f	ADr1uf	0.9991	0.0216	0.1907	0.2955	0.5186
99f	bm1f	1.0061	0.0069	0.0347	0.1774	0.8451
99f	bm2f	0.9939	0.0076	0.0847	0.1322	0.5218
99f	bm4f	1.0076	0.0074	0.1601	0.1759	0.3627
99f	bm5f	1.0022	0.0084	0.0744	0.1038	0.4733
99f	bm6f	1.0033	0.0094	-0.0341	0.109	0.7543
99f	bm7f	1.0014	0.0095	-0.0945	0.1052	0.3689
99f	bm8f	0.9994	0.008	-0.0899	0.125	0.472
99f	ch1f	0.9996	0.0072	-0.1229	0.1459	0.3998
99f	ch4f	0.9996	0.0069	-0.1411	0.2088	0.4994
99f	ch5f	0.9957	0.0072	-0.0997	0.1617	0.5375
99f	ch6f	1.0005	0.0073	-0.0222	0.1687	0.8953
99f	l1f	1.1061	0.0341	0.1222	0.0639	0.056
99f	l2f	1.0791	0.0293	-0.0432	0.0592	0.4654
99f	l3f	1.1199	0.0336	-0.0601	0.0602	0.318
99f	l4f	1.0841	0.0303	-0.1512	0.0654	0.0208
99f	l5f	1.0962	0.0293	-0.1102	0.0591	0.0622
99f	r10f	0.9672	0.0085	-0.1831	0.146	0.2099
99f	r4f	0.9968	0.0071	0.0134	0.1109	0.9038
99f	r5f	1.0513	0.0101	0.0644	0.0733	0.3798
99f	r8f	1.0006	0.0079	0.0124	0.0863	0.8858
99f	r9f	1.0086	0.0072	0.0909	0.1524	0.5509
a13f	a13f	0.9923	0.0088	1.0	3.5891e-06	0.0
a13f	a1f	1.0154	0.0085	0.2999	0.0518	7.3213e-09
a13f	a21f	0.9934	0.0084	0.1837	0.0591	0.0019
a13f	a22f	1.0303	0.0084	0.1444	0.0423	0.0006
a13f	a27f	1.0236	0.0293	0.1744	0.0641	0.0065
a13f	a28f	1.017	0.0103	0.1639	0.1165	0.1593
a13f	a29f	1.0211	0.0096	0.3582	0.0448	1.2955e-15
a13f	a30f	0.9566	0.0094	-0.3798	0.0358	2.4399e-26
a13f	a7f	0.9565	0.008	-0.0924	0.0563	0.1009
a13f	a8f	1.0485	0.0136	0.478	0.0377	7.1205e-37
a13f	a9f	1.0524	0.0091	0.372	0.0901	3.6189e-05
a13f	ADr1uf	1.0172	0.0384	NA	NA	NA
a13f	bm1f	1.0103	0.0075	-0.0798	0.1119	0.4758
a13f	bm2f	1.0025	0.0078	0.2096	0.0857	0.0144
a13f	bm4f	1.0074	0.0073	-0.0542	0.1164	0.6418
a13f	bm5f	1.0123	0.0082	0.066	0.0733	0.3684
a13f	bm6f	1.0173	0.0096	0.1232	0.0754	0.1024
a13f	bm7f	1.0181	0.0093	0.1123	0.0735	0.1264
a13f	bm8f	0.9984	0.0076	0.057	0.0716	0.4259
a13f	ch1f	0.9986	0.0067	-0.2002	0.0883	0.0234
a13f	ch4f	0.9958	0.0069	-0.1572	0.109	0.1492
a13f	ch5f	0.9961	0.0071	-0.0308	0.0976	0.7525
a13f	ch6f	1.0062	0.0073	-0.1633	0.107	0.1271
a13f	l1f	1.1401	0.0392	-0.3962	0.0298	1.9593e-40
a13f	l2f	1.0946	0.034	0.1982	0.037	8.6782e-08
a13f	l3f	1.1294	0.0336	0.1184	0.0362	0.0011
a13f	l4f	1.1128	0.0349	0.4036	0.0338	8.6085e-33
a13f	l5f	1.1134	0.0337	0.2849	0.0395	5.2889e-13
a13f	r10f	0.9794	0.0095	0.2716	0.0763	0.0004
a13f	r4f	1.001	0.0068	0.3029	0.0592	3.0558e-07
a13f	r5f	1.051	0.0109	-0.0261	0.0439	0.551
a13f	r8f	1.0008	0.008	-0.0035	0.0457	0.9382
a13f	r9f	1.0085	0.0068	0.1805	0.0776	0.02
a13m	a13f	0.992	0.0087	1.053	0.0422	1.0587e-137
a13m	a13m	0.9994	0.0113	1.0	1.7414e-06	0.0
a13m	a1m	0.9947	0.0088	0.2314	0.0415	2.4410e-08
a13m	a21m	1.0172	0.0074	0.0491	0.0636	0.4398
a13m	a22m	1.0198	0.0085	0.139	0.0363	0.0001
a13m	a27m	1.0119	0.0267	0.0651	0.0691	0.3457
a13m	a28m	0.975	0.0185	0.2649	0.1091	0.0152
a13m	a29m	1.0288	0.0094	0.3013	0.0422	9.8567e-13
a13m	a30m	0.9563	0.0077	-0.2943	0.0297	3.4060e-23
a13m	a7m	0.9625	0.0085	-0.093	0.05	0.0628
a13m	a8m	1.0455	0.0159	0.4092	0.0336	3.9743e-34
a13m	a9m	1.0141	0.009	0.2711	0.0467	6.6058e-09
a13m	ADr1um	0.9965	0.0338	-0.9695	0.7646	0.2048
a13m	bm1m	1.0061	0.0067	0.0327	0.0763	0.6681
a13m	bm2m	1.0054	0.0087	-0.0752	0.0748	0.3147
a13m	bm4m	0.9959	0.0069	-0.0684	0.0995	0.4921
a13m	bm5m	1.0058	0.0076	0.0331	0.0608	0.5857
a13m	bm6m	0.9984	0.0081	0.0621	0.0525	0.2368
a13m	bm7m	1.0032	0.0075	0.0444	0.0511	0.3848
a13m	bm8m	1.006	0.0071	0.1668	0.0746	0.0254
a13m	ch1m	1.0022	0.0078	0.0067	0.0819	0.9343
a13m	ch4m	1.0045	0.0067	-0.121	0.0813	0.1365
a13m	ch5m	1.0051	0.0066	-0.1687	0.1068	0.1141
a13m	ch6m	0.986	0.0068	-0.0805	0.0723	0.2657
a13m	l1m	1.1193	0.0403	-0.3295	0.025	8.0416e-40
a13m	l2m	1.0848	0.0307	0.0918	0.0354	0.0095
a13m	l3m	1.1315	0.034	0.0786	0.0339	0.0205
a13m	l4m	1.0759	0.0371	0.3478	0.0293	1.5367e-32
a13m	l5m	1.0953	0.0264	0.2482	0.0377	4.8557e-11
a13m	r10m	0.9955	0.009	0.2314	0.099	0.0194
a13m	r4m	1.0186	0.0074	0.1886	0.0615	0.0022
a13m	r5m	1.0257	0.0125	-0.0515	0.0341	0.1316
a13m	r8m	1.0118	0.0081	0.0856	0.0394	0.0297
a13m	r9m	0.9995	0.0073	0.1646	0.0696	0.018
a1f	a1f	1.0095	0.008	1.0	8.5363e-07	0.0
a1f	a21f	0.9878	0.0083	0.1492	0.0529	0.0048
a1f	a22f	1.0195	0.0077	0.0562	0.0396	0.1556
a1f	a27f	0.9414	0.0261	0.0555	0.0601	0.3559
a1f	a28f	1.0023	0.0092	0.1013	0.0707	0.1519
a1f	a29f	1.0145	0.0088	0.5601	0.0283	4.0170e-87
a1f	a30f	0.9486	0.0088	-0.3747	0.0299	6.2704e-36
a1f	a7f	0.9556	0.0079	0.0394	0.056	0.4818
a1f	a8f	1.0482	0.0122	0.2298	0.0372	6.4887e-10
a1f	a9f	1.0589	0.0089	0.4836	0.0825	4.6381e-09
a1f	ADr1uf	1.0058	0.0317	-0.184	0.1752	0.2938
a1f	bm1f	1.0052	0.0068	-0.1633	0.0832	0.0498
a1f	bm2f	0.9959	0.0068	0.1668	0.0721	0.0207
a1f	bm4f	1.0069	0.0067	0.2175	0.0901	0.0157
a1f	bm5f	1.0045	0.0074	0.1955	0.0496	8.0727e-05
a1f	bm6f	1.0095	0.0088	0.0344	0.0577	0.551
a1f	bm7f	1.0089	0.0084	0.0038	0.0582	0.9485
a1f	bm8f	1.0025	0.0068	-0.011	0.0616	0.8583
a1f	ch1f	0.9962	0.0069	-0.1431	0.0715	0.0452
a1f	ch4f	0.9984	0.0067	-0.2978	0.1114	0.0075
a1f	ch5f	0.9934	0.0063	-0.2131	0.0886	0.0161
a1f	ch6f	1.0016	0.0064	-0.3328	0.0948	0.0004
a1f	l1f	1.1018	0.036	-0.1918	0.0257	7.9977e-14
a1f	l2f	1.0713	0.0304	0.0591	0.0264	0.0252
a1f	l3f	1.11	0.0347	0.0377	0.0257	0.1417
a1f	l4f	1.0786	0.0296	0.2209	0.0271	3.4651e-16
a1f	l5f	1.0869	0.0308	0.1076	0.0253	2.1510e-05
a1f	r10f	0.9686	0.0089	0.4564	0.0706	1.0102e-10
a1f	r4f	1.001	0.0062	0.29	0.0471	7.3811e-10
a1f	r5f	1.0586	0.01	-0.0536	0.0374	0.152
a1f	r8f	0.9994	0.0075	-0.0154	0.0447	0.7311
a1f	r9f	1.0104	0.0063	0.059	0.0649	0.3628
a1m	a1f	1.0095	0.008	0.8486	0.0522	1.7645e-59
a1m	a1m	1.0004	0.0084	1.0	9.9249e-07	0.0
a1m	a21m	1.019	0.0074	0.1637	0.0681	0.0162
a1m	a22m	1.0165	0.0079	-0.0381	0.0461	0.4075
a1m	a27m	0.9102	0.0219	0.1495	0.0801	0.0622
a1m	a28m	0.8639	0.0155	-0.0264	0.0811	0.7448
a1m	a29m	1.0192	0.0088	0.5388	0.043	4.7575e-36
a1m	a30m	0.9477	0.0079	-0.1996	0.0426	2.7420e-06
a1m	a7m	0.956	0.0076	0.0079	0.0527	0.8804
a1m	a8m	1.0425	0.0147	0.1712	0.0423	5.2155e-05
a1m	a9m	1.006	0.0081	0.2676	0.0582	4.1919e-06
a1m	ADr1um	0.9928	0.0276	-0.0383	0.1673	0.8189
a1m	bm1m	1.0081	0.0062	0.023	0.0899	0.7984
a1m	bm2m	0.999	0.0078	0.0499	0.0865	0.5642
a1m	bm4m	0.9945	0.0064	0.153	0.102	0.1337
a1m	bm5m	1.0025	0.0072	0.0217	0.0619	0.7263
a1m	bm6m	0.9988	0.0078	0.1071	0.0595	0.0718
a1m	bm7m	1.005	0.0072	0.1016	0.0621	0.1021
a1m	bm8m	1.0099	0.0064	0.1565	0.0885	0.0768
a1m	ch1m	0.9964	0.0066	0.0719	0.0835	0.3892
a1m	ch4m	0.9972	0.0064	-0.1995	0.1068	0.0617
a1m	ch5m	1.003	0.0062	0.0341	0.116	0.7691
a1m	ch6m	0.9892	0.0069	-0.0197	0.0852	0.8172
a1m	l1m	1.0791	0.0355	-0.1138	0.029	8.6554e-05
a1m	l2m	1.0644	0.0297	0.0257	0.0322	0.4246
a1m	l3m	1.1048	0.0336	0.0461	0.0286	0.1072
a1m	l4m	1.047	0.0323	0.1342	0.0302	9.0496e-06
a1m	l5m	1.0778	0.0264	0.0645	0.033	0.0506
a1m	r10m	1.0005	0.0084	0.5737	0.1302	1.0558e-05
a1m	r4m	1.0184	0.0065	0.3746	0.0685	4.4393e-08
a1m	r5m	1.0037	0.0114	0.1434	0.0356	5.7073e-05
a1m	r8m	1.0046	0.0073	0.0761	0.0515	0.1396
a1m	r9m	0.9931	0.0063	0.073	0.0811	0.3682
a21f	a21f	0.9887	0.0075	1.0	1.2628e-05	0.0
a21f	a22f	1.0213	0.0078	0.1464	0.0366	6.4523e-05
a21f	a27f	0.9713	0.0266	0.0392	0.0821	0.6328
a21f	a28f	1.006	0.0094	0.0842	0.0934	0.3678
a21f	a29f	1.0152	0.008	0.2198	0.0379	6.8345e-09
a21f	a30f	0.9508	0.0086	-0.1492	0.0343	1.3705e-05
a21f	a7f	0.9546	0.0076	0.0853	0.0538	0.1132
a21f	a8f	1.0443	0.0117	0.1182	0.0399	0.0031
a21f	a9f	1.059	0.0088	0.0559	0.0849	0.5104
