Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
151m	151m	0.9721	0.0068	1.0	6.0129e-06	0.0
151m	152m	0.9645	0.0076	0.7853	0.102	1.3833e-14
151m	153f	0.9334	0.0086	0.5894	0.0739	1.4618e-15
151m	157m	0.8743	0.0084	-0.2249	0.059	0.0001
151m	163m	0.8679	0.0095	-0.329	0.0524	3.3147e-10
151m	169m	0.8612	0.0077	0.2544	0.0564	6.5709e-06
151m	175m	0.8733	0.0079	0.5401	0.0436	2.6266e-35
151m	181m	0.8905	0.0075	0.8024	0.041	2.8587e-85
151m	187m	0.9041	0.0076	1.0308	0.028	3.5372e-297
151m	4212m	1.0027	0.0101	-0.2277	0.1075	0.0342
151m	4370m	1.0236	0.0104	-0.1717	0.1112	0.1228
151m	4373m	0.9991	0.008	0.1158	0.0856	0.176
151m	49m	0.946	0.0073	-0.1711	0.0815	0.0359
151m	52m	0.9768	0.0069	-0.0022	0.0936	0.9809
151m	97m	0.9774	0.0078	-0.0245	0.1068	0.8185
151m	a13m	1.0045	0.0128	0.2417	0.0599	5.5231e-05
151m	a1m	0.9947	0.0091	0.1032	0.0637	0.1054
151m	a21m	1.0178	0.0076	0.2158	0.0898	0.0162
151m	a22m	1.0165	0.0086	0.0075	0.0611	0.9028
151m	a27m	1.0251	0.0306	0.1077	0.0895	0.2287
151m	a28m	1.0126	0.0248	0.1622	0.1133	0.1523
151m	a29m	1.0209	0.0097	0.1694	0.0555	0.0023
151m	a30m	0.9553	0.0089	-0.2735	0.0443	6.3861e-10
151m	a7m	0.962	0.0085	-0.048	0.0645	0.4565
151m	a8m	1.0422	0.0171	0.2915	0.057	3.1378e-07
151m	a9m	1.0075	0.0091	0.2416	0.076	0.0015
151m	ADr1um	0.985	0.0246	0.0819	0.1913	0.6684
151m	bm1m	1.0078	0.0071	0.0391	0.1099	0.7223
151m	bm2m	0.9967	0.0085	-0.0773	0.1047	0.4603
151m	bm4m	0.9952	0.0077	-0.14	0.1355	0.3018
151m	bm5m	1.0055	0.0075	0.0546	0.0754	0.4687
151m	bm6m	0.9952	0.0087	0.1233	0.0815	0.1302
151m	bm7m	1.0032	0.008	0.1378	0.081	0.0888
151m	bm8m	1.0106	0.0072	-0.1345	0.1202	0.2629
151m	ch1m	1.	0.0074	-0.2739	0.121	0.0236
151m	ch4m	0.9973	0.0072	-0.1913	0.1134	0.0916
151m	ch5m	1.0012	0.0068	-0.376	0.1449	0.0095
151m	ch6m	0.9866	0.0071	-0.3631	0.1193	0.0023
151m	l1m	1.0891	0.0391	-0.2251	0.0427	1.3411e-07
151m	l2m	1.0569	0.0311	0.0123	0.0467	0.7925
151m	l3m	1.1042	0.0355	0.0503	0.0456	0.2692
151m	l4m	1.0698	0.0377	0.3044	0.0452	1.6728e-11
151m	l5m	1.0693	0.0272	0.1353	0.0496	0.0063
151m	r10m	0.9965	0.0083	0.0849	0.1462	0.5613
151m	r4m	1.0137	0.0074	0.2229	0.0885	0.0117
151m	r5m	1.0043	0.0123	0.0965	0.039	0.0134
151m	r8m	1.0055	0.008	0.1379	0.0588	0.0191
151m	r9m	0.9968	0.0067	0.1469	0.0976	0.1322
152m	152m	0.9645	0.0076	1.0	2.3697e-07	0.0
152m	154f	0.9576	0.0076	0.6956	0.1096	2.2297e-10
152m	157m	0.8743	0.0084	-0.243	0.0679	0.0003
152m	163m	0.8679	0.0095	-0.3373	0.0669	4.6418e-07
152m	169m	0.8612	0.0077	0.2293	0.0671	0.0006
152m	175m	0.8733	0.0079	0.5818	0.0616	3.5558e-21
152m	181m	0.8905	0.0075	0.7896	0.0574	4.0727e-43
152m	187m	0.9041	0.0076	1.011	0.0512	7.4470e-87
152m	4212m	1.0027	0.0101	0.0906	0.1032	0.3803
152m	4370m	1.0236	0.0104	-0.0928	0.1488	0.5331
152m	4373m	0.9991	0.008	0.1134	0.0986	0.2501
152m	49m	0.946	0.0073	-0.1254	0.0769	0.1032
152m	52m	0.9768	0.0069	0.1228	0.0979	0.2097
152m	97m	0.9774	0.0078	-0.0924	0.1152	0.4226
152m	a13m	1.0045	0.0128	0.2627	0.0616	1.9968e-05
152m	a1m	0.9947	0.0091	0.0792	0.077	0.3042
152m	a21m	1.0178	0.0076	0.1641	0.0969	0.0903
152m	a22m	1.0165	0.0086	0.0847	0.0669	0.2059
152m	a27m	1.0251	0.0306	-0.0204	0.1003	0.8385
152m	a28m	1.0126	0.0248	0.0009	0.1209	0.9938
152m	a29m	1.0209	0.0097	0.1475	0.066	0.0255
152m	a30m	0.9553	0.0089	-0.3261	0.0518	3.1673e-10
152m	a7m	0.962	0.0085	0.0042	0.0829	0.9598
152m	a8m	1.0422	0.0171	0.2051	0.0675	0.0024
