gene	count	crossd
MIEN1	1	Metabolic
GRB7	1	Metabolic
IKZF3	1	Metabolic
ZPBP2	1	Metabolic
GSDMB	1	Metabolic
ORMDL3	1	Metabolic
LOC101928947	1	Metabolic
LRRC3C	1	Metabolic
GSDMA	1	Metabolic
PSMD3	1	Metabolic
CSF3	1	Metabolic
MED24	1	Metabolic
THRA	1	Metabolic
WNK4	1	Metabolic
COA3	1	Metabolic
CNTD1	1	Metabolic
AOC2	1	Metabolic
AOC3	1	Metabolic
RUNDC1	1	Metabolic
NBR1	1	Metabolic
ETV4	1	Metabolic
MEOX1	1	Metabolic
SOST	1	Metabolic
DUSP3	1	Metabolic
MPP3	1	Metabolic
CD300LG	1	Metabolic
MPP2	1	Metabolic
PPY	1	Metabolic
PYY	1	Metabolic
LSM12	1	Metabolic
G6PC3	1	Metabolic
HDAC5	1	Metabolic
C17orf53	1	Metabolic
SLC4A1	1	Metabolic
CCDC103	1	Metabolic
GFAP	1	Metabolic
NPEPPS	1	Metabolic
KPNB1	1	Metabolic
NFE2L1	1	Metabolic
APOH	1	Metabolic
ABCA8	1	Metabolic
SOCS3	1	Metabolic
PGS1	1	Metabolic
SMAD7	1	Metabolic
DYM	1	Metabolic
C18orf32	1	Metabolic
RPL17-C18orf32	1	Metabolic
RPL17	1	Metabolic
LIPG	1	Metabolic
ACAA2	1	Metabolic
MYO5B	1	Metabolic
MC4R	1	Metabolic
PIAS4	1	Metabolic
ZBTB7A	1	Metabolic
CCL25	1	Metabolic
FBN3	1	Metabolic
NDUFA7	1	Metabolic
RPS28	1	Metabolic
KANK3	1	Metabolic
ANGPTL4	1	Metabolic
RAB11B	1	Metabolic
MARCH2	1	Metabolic
HNRNPM	1	Metabolic
PRAM1	1	Metabolic
ZNF414	1	Metabolic
MYO1F	1	Metabolic
SPC24	1	Metabolic
KANK2	1	Metabolic
DOCK6	1	Metabolic
C19orf80	1	Metabolic
TSPAN16	1	Metabolic
CEBPA	1	Metabolic
PEPD	1	Metabolic
CEACAM19	1	Metabolic
BCL3	1	Metabolic
CBLC	1	Metabolic
BCAM	1	Metabolic
APOC4	1	Metabolic
APOC2	1	Metabolic
CLPTM1	1	Metabolic
RELB	1	Metabolic
BLOC1S3	1	Metabolic
GIPR	1	Metabolic
QPCTL	1	Metabolic
FBXO46	1	Metabolic
BHMG1	1	Metabolic
SIX5	1	Metabolic
RSPH6A	1	Metabolic
SYMPK	1	Metabolic
FOXA3	1	Metabolic
IRF2BP1	1	Metabolic
MYPOP	1	Metabolic
NANOS2	1	Metabolic
ZC3H4	1	Metabolic
FPR3	1	Metabolic
LILRA6	1	Metabolic
LILRB5	1	Metabolic
LILRB2	1	Metabolic
LILRA3	1	Metabolic
LILRA5	1	Metabolic
RRBP1	1	Metabolic
AHCY	1	Metabolic
ITCH	1	Metabolic
DYNLRB1	1	Metabolic
MAP1LC3A	1	Metabolic
PIGU	1	Metabolic
TP53INP2	1	Metabolic
NCOA6	1	Metabolic
GGT7	1	Metabolic
ACSS2	1	Metabolic
GSS	1	Metabolic
MYH7B	1	Metabolic
TRPC4AP	1	Metabolic
EDEM2	1	Metabolic
PROCR	1	Metabolic
MMP24	1	Metabolic
JPH2	1	Metabolic
GDAP1L1	1	Metabolic
HNF4A	1	Metabolic
SPINT4	1	Metabolic
WFDC3	1	Metabolic
DNTTIP1	1	Metabolic
UBE2C	1	Metabolic
TNNC2	1	Metabolic
SNX21	1	Metabolic
ACOT8	1	Metabolic
ZSWIM3	1	Metabolic
ZSWIM1	1	Metabolic
SPATA25	1	Metabolic
NEURL2	1	Metabolic
CTSA	1	Metabolic
PLTP	1	Metabolic
PCIF1	1	Metabolic
ZNF335	1	Metabolic
MMP9	1	Metabolic
SLC12A5	1	Metabolic
NCOA5	1	Metabolic
CD40	1	Metabolic
SULF2	1	Metabolic
PTTG1IP	1	Metabolic
COL18A1	1	Metabolic
HIC2	1	Metabolic
UBE2L3	1	Metabolic
YDJC	1	Metabolic
CCDC116	1	Metabolic
SDF2L1	1	Metabolic
SEC14L4	1	Metabolic
SEC14L6	1	Metabolic
PLA2G6	1	Metabolic
MAFF	1	Metabolic
TMEM184B	1	Metabolic
TMEM50A	1	Metabolic
RHCE	1	Metabolic
TMEM57	1	Metabolic
LDLRAP1	1	Metabolic
SYTL1	1	Metabolic
MAP3K6	1	Metabolic
FCN3	1	Metabolic
TTC22	1	Metabolic
TMEM61	1	Metabolic
BSND	1	Metabolic
PCSK9	1	Metabolic
USP24	1	Metabolic
USP1	1	Metabolic
DOCK7	1	Metabolic
ATG4C	1	Metabolic
C1orf146	1	Metabolic
GLMN	1	Metabolic
RPAP2	1	Metabolic
GFI1	1	Metabolic
EVI5	1	Metabolic
FNDC7	1	Metabolic
STXBP3	1	Metabolic
AKNAD1	1	Metabolic
GPSM2	1	Metabolic
CLCC1	1	Metabolic
WDR47	1	Metabolic
TAF13	1	Metabolic
