id	PMID	Year	File	Website	Consortium	Domain	ChapterLevel	SubchapterLevel	Trait	uniqTrait	Population	Ncase	Ncontrol	N	Genome	Nsnps	Nhits	SNPh2	SNPh2_se	SNPh2_z	SNPh2_l	SNPh2_l_se	LambdaGC	Chi2	Intercept	Note	DateAdded	DateLastModified	sex
135	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/2/24/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WCadjBMI_WOMEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist circumference (female, adjusted for BMI)	Waist circumference	EUR	NA	NA	45192	rsID	2732775	5	0.0928	0.0119	7.798319328	NA	NA	0.9986	1.0274	0.9403	Discover phases.	7/4/2017	7/4/2017	female
129	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/9/99/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIP_WOMEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Hip circumference (female)	Hip circumference	EUR	NA	NA	43316	rsID	2720498	3	0.1351	0.0138	9.789855072	NA	NA	0.9986	1.0322	0.9258	Discover phases.	7/4/2017	7/4/2017	female
131	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/e/e5/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIPadjBMI_WOMEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Hip circumference (female, adjusted for BMI)	Hip circumference	EUR	NA	NA	43316	rsID	2720526	6	0.1294	0.0151	8.569536424	NA	NA	0.9986	1.042	0.9376	Discover phases.	7/4/2017	7/4/2017	female
139	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/f/f0/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WHR_WOMEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist-hip ratio (female)	Waist-hip ratio	EUR	NA	NA	42969	rsID	2733447	6	0.1002	0.0132	7.590909091	NA	NA	0.9986	1.0271	0.9454	Discover phases.	7/4/2017	7/4/2017	female
141	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/4/40/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WHRadjBMI_WOMEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist-hip ratio (female, adjusted for BMI)	Waist-hip ratio	EUR	NA	NA	42969	rsID	2732477	10	0.0804	0.0139	5.784172662	NA	NA	0.9986	1.0327	0.9663	Discover phases.	7/4/2017	7/4/2017	female
1215	27911795	2016	https://grasp.nhlbi.nih.gov/downloads/ResultsFebruary2017/2016/2016_Schumann/women_continuous_alcohol.csv.gz	https://grasp.nhlbi.nih.gov/FullResults.aspx	AlcGen/CHARGE	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	Alcohol consumption (female)	Alcohol intake	EUR	NA	NA	42900	hg18	2458595	0	0.0275	0.0118	2.330508475	NA	NA	1.0345	1.0374	1.0143		7/10/2017	7/10/2017	female
150	26426971	2015	http://portals.broadinstitute.org/collaboration/giant/images/7/7c/BMI.WOMEN.LE50.publicrelease.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Body Mass Index (female <= 50 yrs)	Body Mass Index	EUR	NA	NA	41386		2406249	20	0.2277	0.0142	16.03521127	NA	NA	1.0957	1.1728	0.9427	Discover phase.	7/4/2017	7/4/2017	female
154	26426971	2015	http://portals.broadinstitute.org/collaboration/giant/images/4/48/WHRADJ.WOMEN.LE50.publicrelease.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist-hip ratio (female <= 50 yrs, adjusted for BMI)	Waist-hip ratio	EUR	NA	NA	41386		2365225	10	0.112	0.0145	7.724137931	NA	NA	0.9986	1.0343	0.9599	Discover phase.	7/4/2017	7/4/2017	female
132	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/3/33/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WC_MEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist circumference (male)	Waist circumference	EUR	NA	NA	36231	rsID	2740505	2	0.1408	0.0146	9.643835616	NA	NA	0.9986	1.0329	0.9289	Discover phases.	7/4/2017	7/4/2017	male
134	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/0/08/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WCadjBMI_MEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist circumference (male, adjusted for BMI)	Waist circumference	EUR	NA	NA	36231	rsID	2738793	1	0.133	0.0143	9.300699301	NA	NA	0.9986	1.0346	0.9342	Discover phases.	7/4/2017	7/4/2017	male
128	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/a/a9/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIP_MEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Hip circumference (male)	Hip circumference	EUR	NA	NA	34942	rsID	2720533	2	0.1255	0.016	7.84375	NA	NA	0.9986	1.0319	0.9525	Discover phases.	7/4/2017	7/4/2017	male
130	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/2/2f/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIPadjBMI_MEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Hip circumference (male, adjusted for BMI)	Hip circumference	EUR	NA	NA	34942	rsID	2720528	2	0.154	0.0178	8.651685393	NA	NA	0.9986	1.0328	0.9337	Discover phases.	7/4/2017	7/4/2017	male
138	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/f/fe/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WHR_MEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist-hip ratio (male)	Waist-hip ratio	EUR	NA	NA	34629	rsID	2738500	1	0.1228	0.0154	7.974025974	NA	NA	0.9986	1.0253	0.9422	Discover phases.	7/4/2017	7/4/2017	male
140	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/f/f7/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WHRadjBMI_MEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist-hip ratio (male, adjusted for BMI)	Waist-hip ratio	EUR	NA	NA	34629	rsID	2737857	2	0.0981	0.0173	5.670520231	NA	NA	0.9986	1.0212	0.9535	Discover phases.	7/4/2017	7/4/2017	male
4371	30367059	2018	https://transfer.sysepi.medizin.uni-greifswald.de/gwasresults/formatted_invnormTSH_women_150611_invvar1.txt-QCfiltered_GC.txt.gz	https://transfer.sysepi.medizin.uni-greifswald.de/thyroidomics/		Endocrine	Functions of the Digestive, Metabolic and Endocrine Systems	Endocrine Gland Functions	Thyroid-stimulating hormone (female)	Thyroid stimulating hormone	EUR	NA	NA	30236	hg19	7645899	23	0.0835	0.0203	4.1133	NA	NA	1.0375	1.0667	1.0218		7/24/2019	11/8/2019	female
1214	27911795	2016	https://grasp.nhlbi.nih.gov/downloads/ResultsFebruary2017/2016/2016_Schumann/men_continuous_alcohol.csv.gz	https://grasp.nhlbi.nih.gov/FullResults.aspx	AlcGen/CHARGE	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	Alcohol consumption (male)	Alcohol intake	EUR	NA	NA	27560	hg18	2453242	0	0.1061	0.0199	5.331658291	NA	NA	1.0588	1.065	1.0079		7/10/2017	7/10/2017	male
4374	30367059	2018	https://transfer.sysepi.medizin.uni-greifswald.de/gwasresults/formatted_invnormFT4_women_150611_invvar1.txt-QCfiltered_GC.txt.gz	https://transfer.sysepi.medizin.uni-greifswald.de/thyroidomics/		Endocrine	Functions of the Digestive, Metabolic and Endocrine Systems	Endocrine Gland Functions	Free thyroxine (FT4, female)	Free thyroxine	EUR	NA	NA	27380	hg19	7892857	10	0.1112	0.0211	5.2701	NA	NA	1.0618	1.0762	1.017		7/24/2019	11/8/2019	female
1217	27911795	2016	https://grasp.nhlbi.nih.gov/downloads/ResultsFebruary2017/2016/2016_Schumann/men_dichotomous_alcohol.csv.gz	https://grasp.nhlbi.nih.gov/FullResults.aspx	AlcGen/CHARGE	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	Alcohol consumption (dichotomous, male)	Alcohol intake	EUR	NA	NA	26991	hg18	2456788	0	0.0368	0.0185	1.989189189	NA	NA	1.0255	1.0239	1.0048		7/10/2017	7/10/2017	male
4370	30367059	2018	https://transfer.sysepi.medizin.uni-greifswald.de/gwasresults/formatted_invnormTSH_men_150611_invvar1.txt-QCfiltered_GC.txt.gz	https://transfer.sysepi.medizin.uni-greifswald.de/thyroidomics/		Endocrine	Functions of the Digestive, Metabolic and Endocrine Systems	Endocrine Gland Functions	Thyroid-stimulating hormone (male)	Thyroid stimulating hormone	EUR	NA	NA	24618	hg19	8038417	24	0.1083	0.027	4.0111	NA	NA	1.0405	1.0744	1.0221		7/24/2019	11/8/2019	male
4373	30367059	2018	https://transfer.sysepi.medizin.uni-greifswald.de/gwasresults/formatted_invnormFT4_men_150611_invvar1.txt-QCfiltered_GC.txt.gz	https://transfer.sysepi.medizin.uni-greifswald.de/thyroidomics/		Endocrine	Functions of the Digestive, Metabolic and Endocrine Systems	Endocrine Gland Functions	Free thyroxine (FT4, male)	Free thyroxine	EUR	NA	NA	22455	hg19	8007611	10	0.2041	0.0279	7.3154	NA	NA	1.0557	1.0843	0.9959		7/24/2019	11/8/2019	male
148	26426971	2015	http://portals.broadinstitute.org/collaboration/giant/images/e/ea/BMI.MEN.LE50.publicrelease.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Body Mass Index (male <= 50 yrs)	Body Mass Index	EUR	NA	NA	21989		2406251	6	0.2174	0.016	13.5875	NA	NA	1.0957	1.1235	0.9663	Discover phase.	7/4/2017	7/4/2017	male
