CODE NOM_NUM_PLEIO_SUBSETS NOM_NUM_PLEIO_SUBSETS_EMP_P NOM_VERBOSE MARG_NUM_PLEIO_SUBSETS MARG_NUM_PLEIO_SUBSETS_EMP_P MARG_VERBOSE SMALLEST_PLEIO_P_EMP_P
137f:159f 108 0.000999 MORE 109 0.000999 MORE 0.000999
137f:165f 60 0.000999 MORE 65 0.000999 MORE 0.000999
137f:171f 106 0.000999 MORE 108 0.000999 MORE 0.000999
137f:177f 27 0.000999 MORE 36 0.000999 MORE 0.000999
137f:183f 75 0.000999 MORE 78 0.000999 MORE 0.000999
137f:189f 12 0.003 MORE 17 0.002 MORE 0.000999
137f:4371f 5 0.025 MORE 7 0.034 MORE 0.02
137f:4374f 1 0.195 NOT 3 0.137 NOT 0.171
137f:48f 10 0.003 MORE 17 0.002 MORE 0.028
137f:51f 4 0.028 MORE 6 0.041 MORE 0.0589
137f:96f 22 0.000999 MORE 25 0.000999 MORE 0.000999
137f:99f 2 0.0949 NOT 3 0.146 NOT 0.162
137f:a13f 29 0.000999 MORE 36 0.000999 MORE 0.003
137f:a1f 12 0.000999 MORE 19 0.002 MORE 0.003
137f:a21f 19 0.000999 MORE 24 0.000999 MORE 0.002
137f:a22f 20 0.000999 MORE 30 0.000999 MORE 0.000999
137f:a27f 35 0.000999 MORE 41 0.000999 MORE 0.000999
137f:a28f 59 0.000999 MORE 65 0.000999 MORE 0.000999
137f:a29f 34 0.000999 MORE 41 0.000999 MORE 0.000999
137f:a30f 29 0.000999 MORE 39 0.000999 MORE 0.000999
137f:a7f 7 0.00799 MORE 14 0.005 MORE 0.000999
137f:a8f 55 0.000999 MORE 58 0.000999 MORE 0.000999
137f:a9f 1 0.199 NOT 3 0.138 NOT 0.136
137f:ADr1uf 0 1 NOT 0 1 NOT 0.689
137f:bm1f 8 0.00599 MORE 9 0.021 MORE 0.0699
137f:bm2f 12 0.002 MORE 13 0.004 MORE 0.021
137f:bm4f 3 0.034 MORE 3 0.135 NOT 0.103
137f:bm5f 5 0.019 MORE 9 0.018 MORE 0.00699
137f:bm6f 2 0.0909 NOT 5 0.0559 NOT 0.00699
137f:bm7f 0 1 NOT 3 0.121 NOT 0.205
137f:bm8f 6 0.013 MORE 11 0.00999 MORE 0.00799
